spins,time,fidelity,gamma,optimum_gamma
136,55.00000000000051,0.8906796257577041,0.1128046639110824,0.1140454787195511
140,55.70000000000052,0.8913329814179081,0.1120601629251206,0.1133294527964408
144,56.30000000000053,0.8914080017646644,0.1113432001555695,0.1126408224299627
148,57.00000000000054,0.8909581822603654,0.1106519973730776,0.1119778146991151
152,57.70000000000055,0.8900413102065003,0.109984935293803,0.1113388152877015
156,58.30000000000056,0.8887362375483229,0.109340535654772,0.1107223505901369
160,59.00000000000057,0.887100915854666,0.1087174457077653,0.1101270722323392
164,59.80000000000058,0.8852170218537251,0.1081144247545145,0.1095517436309526
168,60.60000000000059,0.8832012696205744,0.1075303324123817,0.1089952282804713
172,61.70000000000061,0.8812701400682261,0.1069641183531286,0.1084564795112027
176,69.10000000000035,0.9002582236824317,0.1064148133006288,0.1079345315042081
180,69.70000000000032,0.9059012338143309,0.1058815211085681,0.107428491384505
184,70.30000000000028,0.910924939824222,0.1053634117679332,0.1069375322425434
188,70.90000000000025,0.9153313727273747,0.1048597152177345,0.1064608869575765
192,71.40000000000022,0.919135962308608,0.1043697158518962,0.1059978427160142
196,71.90000000000019,0.9223545231255664,0.1038927476314137,0.1055477361339948
200,72.40000000000016,0.9250121089737272,0.1034281897243221,0.1051099489068314
204,72.90000000000013,0.9271306876255604,0.1029754626072551,0.1046839039192167
220,74.80000000000003,0.9306062468092098,0.1012725313622028,0.1030868600999621
240,76.9999999999999,0.925233068425136,0.0993541792805678,0.1012991224312477
260,78.99999999999979,0.9112233042932016,0.0976288409542513,0.0997026562032795
280,80.99999999999967,0.890511049193601,0.0960631529529294,0.0982642726605252
300,83.19999999999955,0.8648187733127211,0.0946314211952004,0.0969584233557381
320,93.19999999999898,0.8489459425174654,0.093313479542387,0.0957650652118093
340,95.49999999999883,0.8308042113260458,0.0920932390088264,0.094668214441639
360,97.69999999999872,0.8072188543366872,0.0909576783852966,0.0936549406767881
380,107.0999999999982,0.7860345225133958,0.0898961255194911,0.0927146509070659
400,108.49999999999812,0.7595366235853295,0.0888997350291487,0.0918385692449884
420,109.69999999999804,0.7267411173008352,0.087961101848726,0.0910193520785658
440,110.79999999999798,0.6888783902248418,0.0870739706389412,0.0902507987551215
460,111.69999999999791,0.647186418048467,0.0862330140950053,0.0895276309125886
480,112.59999999999788,0.6028691340887339,0.0854336615929655,0.0888453219560789
500,113.29999999999784,0.5570458485219593,0.084671965163693,0.0881999637121802
30,23.800000000000068,0.7274645073553608,0.1640488068466308,0.1640488068466308
