spins,analytical_gamma,start_gamma,end_gamma,optimum_gamma,fidelity,naive_fidelity,time
32,0.1613277855665809,-0.038672214433419116,0.3613277855665809,0.17132778556658088,0.7807603217162937,0.7448462173744831,35.890000000000015
64,0.13560507724014415,-0.06439492275985587,0.33560507724014416,0.13560507724014415,0.8507370285889764,0.7659667789296216,53.52000000000277
96,0.12327084803656252,-0.07672915196343749,0.32327084803656253,0.12327084803656252,0.8718092152074155,0.7798955372053873,62.98000000000343
128,0.11556772999544647,-0.08443227000455354,0.31556772999544647,0.11556772999544647,0.8009144445040363,0.7907289717367998,76.40000000000194
160,0.11012707223233927,-0.08987292776766075,0.31012707223233926,0.15012707223233923,0.8674781383133401,0.7996139984287377,85.23000000000019
192,0.10599784271601427,-0.09400215728398574,0.30599784271601427,0.10599784271601427,0.8517303352395358,0.8071280074979635,97.54999999999774
224,0.10271208596536625,-0.09728791403463376,0.30271208596536625,0.10271208596536625,0.8247034696386045,0.8136195467815938,102.47999999999675
256,0.10000836736049502,-0.09999163263950499,0.300008367360495,0.13000836736049504,0.8157316505939955,0.819318565399402,99.99999999999724
288,0.09772725649732966,-0.10227274350267035,0.2977272564973297,0.09772725649732966,0.7520288403090454,0.8243855549195417,115.38999999999419
320,0.09576506521180934,-0.10423493478819067,0.29576506521180934,0.09576506521180934,0.7198442578281488,0.8289371713505911,119.92999999999327
352,0.09405094445012262,-0.1059490555498774,0.29405094445012264,0.09405094445012262,0.7184298068733037,0.8330609103013973,133.76999999999464
384,0.09253455147378557,-0.10746544852621444,0.2925345514737856,0.13253455147378557,0.7689036008219556,0.8368240748279,136.03999999999579
416,0.09117895849361111,-0.1088210415063889,0.29117895849361114,0.1311789584936111,0.8481368155788007,0.840279529177537,141.07999999999836
448,0.08995635410635641,-0.1100436458936436,0.28995635410635645,0.1299563541063564,0.7857075960751212,0.8434695358642466,145.03000000000037
480,0.08884532195607898,-0.11115467804392103,0.288845321956079,0.08884532195607898,0.6661026566607205,0.8464283971313274,152.93000000000444
512,0.08782905402480051,-0.1121709459751995,0.2878290540248005,0.1378290540248005,0.6553350527967021,0.8491843226306744,177.550000000017
544,0.08689414065199656,-0.11310585934800345,0.2868941406519966,0.10689414065199655,0.6867101877618952,0.8517607806035244,155.2000000000056
576,0.0860297289576824,-0.1139702710423176,0.2860297289576824,0.1060297289576824,0.7747925338504958,0.8541774950597494,165.790000000011
608,0.08522692373707562,-0.11477307626292439,0.28522692373707564,0.10522692373707561,0.8489674430899863,0.8564511946910708,169.21000000001277
640,0.08447835216505875,-0.11552164783494126,0.2844783521650588,0.10447835216505874,0.888284496038451,0.8585961841216214,171.89000000001414
672,0.08377784174454084,-0.11622215825545917,0.28377784174454085,0.10377784174454083,0.8893184259557909,0.860624785723752,174.25000000001535
704,0.08312017815872333,-0.11687982184127668,0.28312017815872337,0.10312017815872332,0.8547050495618408,0.8625476856133059,176.44000000001645
736,0.08250092054307295,-0.11749907945692706,0.28250092054307296,0.10250092054307294,0.790835917996985,0.8643742076793116,178.54000000001753
768,0.08191625870398185,-0.11808374129601816,0.28191625870398185,0.12191625870398183,0.8202477308813465,0.866112532854279,201.12000000002908
800,0.08136290144004885,-0.11863709855995117,0.28136290144004883,0.12136290144004883,0.8302267569167407,0.8677698762196544,203.23000000003015
832,0.08083798823941778,-0.11916201176058223,0.2808379882394178,0.11083798823941778,0.6532769401276841,0.869352631289692,174.9800000000157
864,0.08033901876441901,-0.119660981235581,0.280339018764419,0.11033901876441901,0.6315699672107754,0.8708664884906329,188.73000000002276
896,0.07986379602506574,-0.12013620397493427,0.2798637960250657,0.12986379602506573,0.5745344480874869,0.872316533164592,241.91000000003694
928,0.07941038019764901,-0.120589619802351,0.279410380197649,0.129410380197649,0.6220516533698,0.8737073271882461,243.02000000003858
