spins,analytical_gamma,start_gamma,end_gamma,optimum_gamma,fidelity,naive_fidelity,time
12,0.1424798220146712,0.11747982201467119,0.1674798220146712,0.1674798220146712,0.9583299927612986,0.7955347250677832,10.559999999999864
16,0.13613619352931383,0.11113619352931384,0.16113619352931385,0.15413619352931385,0.9657129177278913,0.8226892534505895,11.969999999999834
20,0.13103968027504992,0.10603968027504992,0.15603968027504994,0.14203968027504993,0.9564377379797631,0.8382897027511238,13.429999999999803
24,0.1268656720604556,0.1018656720604556,0.1518656720604556,0.1338656720604556,0.9404471968694283,0.848406885401052,14.759999999999774
28,0.12337163514372061,0.0983716351437206,0.1483716351437206,0.1273716351437206,0.9210676973012352,0.8555343253110463,16.089999999999748
32,0.12039030191369203,0.09539030191369202,0.145390301913692,0.12339030191369202,0.8994715459453473,0.8608671722811001,17.32999999999972
36,0.11780536795792526,0.09280536795792527,0.14280536795792526,0.12080536795792526,0.8806516826460834,0.8650435515663522,18.65999999999969
40,0.1155339956239955,0.0905339956239955,0.1405339956239955,0.1195339956239955,0.8726392136415742,0.8684326406077566,20.089999999999662
44,0.11351564635541367,0.08851564635541367,0.1385156463554137,0.11651564635541367,0.8742661641717989,0.8712617443028731,21.439999999999632
48,0.11170500714809671,0.0867050071480967,0.1367050071480967,0.1147050071480967,0.8788424154787863,0.8736779775006042,22.39999999999961
52,0.1100674288295651,0.08506742882956511,0.13506742882956513,0.11206742882956511,0.8848075734425808,0.8757805400783799,23.52999999999959
56,0.10857591187081471,0.0835759118708147,0.1335759118708147,0.1095759118708147,0.8918352001983583,0.8776386609605855,24.77999999999956
60,0.10720906470437945,0.08220906470437944,0.13220906470437943,0.10820906470437944,0.9013734962370483,0.8793020875897468,25.989999999999533
64,0.10594968794681564,0.08094968794681565,0.13094968794681566,0.10694968794681564,0.9114244124731595,0.8808074822000203,26.959999999999514
68,0.1047837712481664,0.07978377124816641,0.12978377124816642,0.1057837712481664,0.9200140763645236,0.882182465489951,27.6899999999995
72,0.10369976844005711,0.0786997684400571,0.1286997684400571,0.1046997684400571,0.9263055114181238,0.8834482541284949,28.349999999999483
76,0.10268806439364606,0.07768806439364606,0.12768806439364605,0.10368806439364606,0.930405989161481,0.8846214287544999,28.969999999999473
80,0.10174057652639674,0.07674057652639674,0.12674057652639675,0.10274057652639673,0.9327646198707912,0.8857151480739708,29.55999999999946
84,0.10085045257287309,0.0758504525728731,0.12585045257287308,0.10185045257287309,0.9339139357931616,0.8867400006961363,30.12999999999945
88,0.1000118383019184,0.0750118383019184,0.12501183830191842,0.1010118383019184,0.934333041757547,0.8877046144228222,30.689999999999436
92,0.09921969681684288,0.07421969681684287,0.12421969681684288,0.10021969681684287,0.9343419232129491,0.8886160996906333,31.219999999999423
96,0.09846966641682595,0.07346966641682595,0.12346966641682595,0.09946966641682595,0.9341081739113335,0.8894803774360229,31.739999999999412
100,0.0977579476471867,0.07275794764718671,0.12275794764718671,0.0987579476471867,0.9336709935132824,0.8903024250147716,32.229999999999436
104,0.09708121269965449,0.07208121269965448,0.12208121269965448,0.09808121269965447,0.9329832157897606,0.891086463099808,32.689999999999515
108,0.0964365321087608,0.0714365321087608,0.1214365321087608,0.0974365321087608,0.9319866431928548,0.8918360994512556,33.12999999999958
112,0.09582131496545572,0.07082131496545571,0.12082131496545571,0.09682131496545571,0.9306279312385416,0.8925544407518621,33.54999999999964
116,0.09523325979145209,0.07023325979145209,0.1202332597914521,0.09623325979145209,0.9288664884551898,0.8932441805047356,33.949999999999704
120,0.09467031389305507,0.06967031389305506,0.11967031389305506,0.09567031389305505,0.9266915947358578,0.8939076687831015,34.33999999999977
