spins,analytical_gamma,start_gamma,end_gamma,optimum_gamma,fidelity,naive_fidelity,time
12,0.1424798220146712,0.11747982201467119,0.1674798220146712,0.1504798220146712,0.8777079475590058,0.7955347250677832,12.729999999999817
16,0.13613619352931383,0.11113619352931384,0.16113619352931385,0.14213619352931384,0.9156979645598329,0.8226892534505895,14.759999999999774
20,0.13103968027504992,0.10603968027504992,0.15603968027504994,0.13603968027504992,0.9424320701462577,0.8382897027511238,16.129999999999747
24,0.1268656720604556,0.1018656720604556,0.1518656720604556,0.1308656720604556,0.9572284009417178,0.848406885401052,17.23999999999972
28,0.12337163514372061,0.0983716351437206,0.1483716351437206,0.1263716351437206,0.9638490138544087,0.8555343253110463,18.2499999999997
32,0.12039030191369203,0.09539030191369202,0.145390301913692,0.12339030191369202,0.9649559174769865,0.8608671722811001,19.17999999999968
36,0.11780536795792526,0.09280536795792527,0.14280536795792526,0.11980536795792526,0.9624715083022499,0.8650435515663522,20.019999999999662
40,0.1155339956239955,0.0905339956239955,0.1405339956239955,0.1175339956239955,0.9577603072341628,0.8684326406077566,20.789999999999644
44,0.11351564635541367,0.08851564635541367,0.1385156463554137,0.11551564635541367,0.951272757839102,0.8712617443028731,21.489999999999633
48,0.11170500714809671,0.0867050071480967,0.1367050071480967,0.1137050071480967,0.9435991240022231,0.8736779775006042,22.189999999999614
52,0.1100674288295651,0.08506742882956511,0.13506742882956513,0.11206742882956511,0.9350987224565691,0.8757805400783799,22.849999999999604
56,0.10857591187081471,0.0835759118708147,0.1335759118708147,0.1105759118708147,0.9260450055915563,0.8776386609605855,23.469999999999587
60,0.10720906470437945,0.08220906470437944,0.13220906470437943,0.10920906470437944,0.9167168492147407,0.8793020875897468,24.119999999999575
64,0.10594968794681564,0.08094968794681565,0.13094968794681566,0.10794968794681564,0.9072603818440285,0.8808074822000203,24.74999999999956
68,0.1047837712481664,0.07978377124816641,0.12978377124816642,0.1067837712481664,0.8979123587320009,0.882182465489951,25.389999999999546
72,0.10369976844005711,0.0786997684400571,0.1286997684400571,0.1056997684400571,0.8889327009429833,0.8834482541284949,26.10999999999953
76,0.10268806439364606,0.07768806439364606,0.12768806439364605,0.10468806439364606,0.8809162301772819,0.8846214287544999,27.09999999999951
80,0.10174057652639674,0.07674057652639674,0.12674057652639675,0.10374057652639673,0.885803431293037,0.8857151480739708,30.689999999999436
84,0.10085045257287309,0.0758504525728731,0.12585045257287308,0.10285045257287309,0.8931861871220824,0.8867400006961363,31.44999999999942
88,0.1000118383019184,0.0750118383019184,0.12501183830191842,0.1020118383019184,0.9005698891384646,0.8877046144228222,32.139999999999425
92,0.09921969681684288,0.07421969681684287,0.12421969681684288,0.10121969681684287,0.907593457142415,0.8886160996906333,32.70999999999951
96,0.09846966641682595,0.07346966641682595,0.12346966641682595,0.10046966641682595,0.9140534421648812,0.8894803774360229,33.2499999999996
100,0.0977579476471867,0.07275794764718671,0.12275794764718671,0.0987579476471867,0.9203753530877817,0.8903024250147716,33.849999999999696
104,0.09708121269965449,0.07208121269965448,0.12208121269965448,0.09808121269965447,0.9261869218426113,0.891086463099808,34.32999999999977
108,0.0964365321087608,0.0714365321087608,0.1214365321087608,0.0974365321087608,0.9313514846455516,0.8918360994512556,34.789999999999836
112,0.09582131496545572,0.07082131496545571,0.12082131496545571,0.09682131496545571,0.9358813609334249,0.8925544407518621,35.21999999999991
116,0.09523325979145209,0.07023325979145209,0.1202332597914521,0.09623325979145209,0.9398000413408678,0.8932441805047356,35.63999999999997
120,0.09467031389305507,0.06967031389305506,0.11967031389305506,0.09567031389305505,0.9431306216789643,0.8939076687831015,36.05000000000004
