spins,analytical_gamma,start_gamma,end_gamma,optimum_gamma,fidelity,naive_fidelity,time
8,0.1650345558249374,0.1700345558249374,0.1900345558249374,0.1900345558249374,0.9540670671169267,0.7436592993554942,7.339999999999888
12,0.1331630700264699,0.13816307002646988,0.15816307002646987,0.15816307002646987,0.980003996279236,0.8144215788703694,8.699999999999859
16,0.1137421097370348,0.11874210973703479,0.1387421097370348,0.1299421097370348,0.9690975992219065,0.8520159378338796,10.319999999999824
20,0.1004997587355275,0.10099975873552751,0.12099975873552751,0.11159975873552751,0.9615743668000762,0.8756767946249312,11.879999999999791
24,0.0907907656320292,0.0882907656320292,0.1082907656320292,0.0986907656320292,0.9614952951780901,0.8921038163324451,13.409999999999759
28,0.0833078833672337,0.07930788336723371,0.09930788336723372,0.0893078833672337,0.9677802782248409,0.9042612214881184,14.809999999999729
32,0.0773274867348183,0.0718274867348183,0.0918274867348183,0.0820274867348183,0.9762778996564855,0.9136716168927488,16.05999999999971
36,0.0724144617802097,0.06691446178020971,0.08691446178020971,0.07651446178020971,0.9836965263032555,0.9212016137316223,17.089999999999872
40,0.0682902634225202,0.061290263422520204,0.0812902634225202,0.07189026342252021,0.9885457592998224,0.9273828943181316,18.020000000000017
44,0.0647676252915449,0.05776762529154499,0.07776762529154499,0.06796762529154499,0.9906515747323934,0.9325609049227828,18.87000000000015
48,0.0617155981900534,0.0547155981900534,0.0747155981900534,0.0645155981900534,0.9904328221075323,0.9369704802593928,19.69000000000028
52,0.0590396114413421,0.0520396114413421,0.0720396114413421,0.0614396114413421,0.9883835559800974,0.9407772179608456,20.500000000000405
56,0.0566695017673816,0.0481695017673816,0.0681695017673816,0.058969501767381596,0.9853653152168984,0.9441014802047244,21.23000000000052
60,0.0545520118069638,0.0460520118069638,0.0660520118069638,0.0564520118069638,0.9819757157229777,0.9470330032315436,22.090000000000654
64,0.0526459165241962,0.0441459165241962,0.0641459165241962,0.0543459165241962,0.9791193708002353,0.9496401549616996,22.930000000000785
68,0.0509187574629753,0.0424187574629753,0.0624187574629753,0.0524187574629753,0.9774435226964812,0.9519760050634872,23.840000000000927
72,0.0493445950159386,0.040844595015938595,0.0608445950159386,0.0506445950159386,0.9774765754703174,0.9540824236002962,24.81000000000108
76,0.0479024247212914,0.0394024247212914,0.0594024247212914,0.049202424721291396,0.9793504132407744,0.9559929200738354,25.66000000000121
80,0.0465750381433756,0.038075038143375595,0.0580750381433756,0.04767503814337559,0.9824028469840084,0.957734654499022,26.55000000000135
84,0.0453481883637563,0.0368481883637563,0.0568481883637563,0.046448188363756304,0.9856999771648244,0.959329890472158,27.25000000000146
88,0.0442099685143852,0.035709968514385196,0.0557099685143852,0.045109968514385194,0.9888285903537386,0.9607970637495008,27.980000000001574
92,0.0431503420825254,0.0346503420825254,0.054650342082525394,0.044050342082525396,0.9915566390326916,0.9621515806037886,28.560000000001665
96,0.0421607831503191,0.0336607831503191,0.053660783150319094,0.043060783150319096,0.9934568318292183,0.9634064228609268,29.090000000001748
100,0.0412339974731933,0.0327339974731933,0.052733997473193295,0.042133997473193296,0.9945040142264923,0.964572612394364,29.600000000001828
104,0.0403637038228975,0.0318637038228975,0.0518637038228975,0.0410637038228975,0.9948010946260158,0.9656595719452118,30.19000000000192
108,0.0395444608243361,0.031044460824336095,0.0510444608243361,0.040244460824336095,0.9947758540427505,0.9666754084406406,30.670000000001995
112,0.0387715285334022,0.028771528533402195,0.04877152853340219,0.03957152853340219,0.9939596294209053,0.9676271376657676,31.09000000000206
116,0.0380407568274267,0.028040756827426697,0.0480407568274267,0.038640756827426695,0.9926350443886316,0.9685208640573184,31.680000000002153
