spins,analytical_gamma,optimum_gamma,fidelity,noiseless_fidelity,naive_fidelity,time,noiseless_time
12,0.2086147880798742,0.2289481214132075,0.8995592985334304,0.923842490597076,0.7023532419560383,18.339999999999698,18.33999999999969
16,0.1935200512961204,0.2058533846294538,0.8963029976073487,0.923702405305756,0.7193247745580367,21.179999999999637,21.23999999999964
20,0.1824571005814988,0.1904571005814988,0.8802065567658439,0.9118957245222972,0.7290835688341203,23.559999999999587,23.629999999999583
24,0.1739007664481874,0.1792340997815207,0.8543399942577995,0.8901086936269796,0.7357110717078942,25.469999999999544,25.70999999999954
28,0.167021317242487,0.1703546505758203,0.8232560056924306,0.8627992041467478,0.7407390008464764,27.409999999999506,27.609999999999506
32,0.1613277855665809,0.1679944522332475,0.822282006270497,0.8818714656329112,0.7448462173744831,34.819999999999844,34.91999999999986
36,0.1565094995216228,0.1611761661882895,0.8291882276552508,0.8958521052101682,0.748371525295074,36.54000000000011,36.850000000000165
40,0.1523592014110747,0.1560258680777414,0.8373097539777319,0.9040991094731244,0.7515001097144091,38.340000000000394,38.58000000000043
44,0.148732652074731,0.151732652074731,0.8362084051789451,0.9076351083906804,0.7543408830976579,39.78000000000062,40.17000000000069
48,0.1455259514583734,0.1485259514583734,0.8237542038086973,0.90663646428825,0.7569619443049683,41.20000000000084,41.6000000000009
52,0.1426620896096925,0.1449954229430258,0.8156821730317566,0.9034267064810446,0.7594081682366439,42.790000000001086,43.01000000000113
56,0.1400825995673427,0.1417492662340094,0.8047206689904776,0.8980711446505716,0.7617105104231567,43.85000000000126,44.38000000000134
60,0.1377421739279268,0.1384088405945934,0.7898761416661041,0.8898825193614501,0.7638912007717802,45.260000000001476,45.760000000001554
64,0.1356050772401441,0.1366050772401441,0.7804040669344278,0.8824224287024917,0.7659667789296216,46.31000000000164,46.99000000000174
68,0.133642686704113,0.133642686704113,0.7452891105974617,0.8773322444277687,0.7679499405542078,48.48000000000198,54.280000000002886
72,0.1318317643718774,0.1318317643718773,0.731010899746841,0.8923389837754895,0.7698507006734344,49.970000000002216,55.60000000000309
76,0.1301532167816073,0.1294865501149407,0.7397361549244127,0.9069146883303856,0.7716771502725328,55.850000000003135,56.97000000000331
80,0.1285911873390907,0.1279245206724241,0.7495481617143774,0.917074935471569,0.7734359626125997,57.46000000000338,58.040000000003474
84,0.127132380777283,0.1257990474439497,0.7484390459550426,0.922962638904684,0.7751327410279572,58.64000000000357,59.22000000000366
88,0.1257655526154986,0.1244322192821653,0.7460615314905749,0.9288537234758166,0.7767722636340789,59.61000000000372,60.18000000000381
92,0.1244811179678746,0.1231477846345413,0.7465040813369177,0.9324196394167128,0.7783586593600524,60.23000000000381,61.10000000000395
96,0.1232708480365625,0.1222708480365625,0.739406256159689,0.9339198719398006,0.7798955372053873,61.090000000003954,61.88000000000408
100,0.1221276319441811,0.1211276319441811,0.7347935788976406,0.9332244571483292,0.7813860829763796,61.68000000000404,62.73000000000421
104,0.1210452878871717,0.1200452878871717,0.746496463452272,0.9310771556599784,0.7828331329764985,62.670000000004194,63.54000000000433
108,0.120018411961505,0.119018411961505,0.7302111268273956,0.9276931947047048,0.7842392310707296,63.780000000004314,64.32000000000434
112,0.119042256077808,0.1180422560778081,0.7155289289829528,0.923257962592748,0.7856066735529944,64.25000000000435,65.08000000000419
116,0.118112628564774,0.117112628564774,0.7185019514565605,0.917931673191426,0.7869375449241842,65.0600000000042,65.82000000000404
120,0.1172258126332353,0.1155591459665686,0.7153625327781621,0.9144568086516544,0.7882337467958874,65.510000000004,66.77000000000385
