spins,time,fidelity,gamma,optimum_gamma
4,7.800000000000004,0.7066153291371073,0.2634738150045095,0.2635581536136659
8,13.299999999999985,0.6882509969177655,0.2306358671887777,0.2307835686727283
12,17.49999999999997,0.7831389618439695,0.2084145178833175,0.2086147880798742
16,20.69999999999996,0.8460274045230312,0.1932723456304614,0.1935200512961204
20,23.49999999999995,0.8702885867460266,0.1821651692205684,0.1824571005814988
24,25.69999999999994,0.8638861439240757,0.1735668769766068,0.1739007664481874
28,27.799999999999933,0.8434616928855223,0.1666471894918638,0.167021317242487
32,29.899999999999928,0.8170302256747667,0.1609147864355304,0.1613277855665809
36,35.599999999999966,0.8076950369132384,0.1560587521630005,0.1565094995216228
40,37.9,0.8371470237641678,0.1518716519665593,0.1523592014110747
44,39.800000000000026,0.8590793641560979,0.148209113139428,0.148732652074731
48,41.40000000000005,0.8726744113371433,0.1449671318047732,0.1455259514583734
52,43.00000000000007,0.8805518933512948,0.1420686153169162,0.1426620896096925
56,44.600000000000094,0.87860612076109,0.139455029521281,0.1400825995673427
60,46.40000000000012,0.8653241866149196,0.1370810114930727,0.1377421739279268
64,52.80000000000021,0.855298826408885,0.1349107792446746,0.1356050772401441
68,54.60000000000024,0.8752390556701306,0.1329156704884426,0.133642686704113
72,56.000000000000256,0.891365391242563,0.1310724134090954,0.1318317643718774
76,57.300000000000274,0.902913340957297,0.1293618852235752,0.1301532167816073
80,58.40000000000029,0.9109220958824708,0.1277682037401206,0.1285911873390907
84,59.50000000000031,0.9162908645162908,0.1262780511784597,0.127132380777283
88,60.60000000000032,0.9171490364463316,0.1248801631250855,0.1257655526154986
92,61.600000000000335,0.9179931229546874,0.1235649369396311,0.1244811179678746
96,62.60000000000035,0.9149364680784728,0.1223241279236417,0.1232708480365625
100,63.60000000000037,0.911519410171536,0.1211506108886276,0.1221276319441811
104,64.50000000000037,0.9064258618579456,0.1200381910919505,0.1210452878871717
108,65.40000000000039,0.9018659001305216,0.1189814528821576,0.120018411961505
112,66.30000000000041,0.8962034449939976,0.1179756374633509,0.119042256077808
116,67.20000000000041,0.8896487615193456,0.1170165433716929,0.118112628564774
120,68.20000000000043,0.8824325971875044,0.1161004448319562,0.1172258126332353
124,69.20000000000044,0.8747936461703304,0.1152240243117712,0.1163784990220702
128,70.40000000000046,0.8671055141004841,0.1143843164402931,0.1155677299954464
132,75.90000000000055,0.8647380433777987,0.1135786610916442,0.1147908524939806
136,77.00000000000055,0.8649226150494532,0.1128046639110824,0.1140454787195511
140,77.90000000000057,0.8644841206808418,0.1120601629251206,0.1133294527964408
144,78.80000000000058,0.8637483804479453,0.1113432001555695,0.1126408224299627
148,79.70000000000059,0.8623524954039935,0.1106519973730776,0.1119778146991151
152,80.5000000000006,0.8605181123793426,0.109984935293803,0.1113388152877015
156,81.40000000000062,0.8584385370946134,0.109340535654772,0.1107223505901369
160,82.20000000000063,0.8558713525816009,0.1087174457077653,0.1101270722323392
164,83.10000000000065,0.8530399118735114,0.1081144247545145,0.1095517436309526
168,84.10000000000065,0.8500623061242877,0.1075303324123817,0.1089952282804713
172,93.1000000000008,0.8957704221850816,0.1069641183531286,0.1084564795112027
176,93.8000000000008,0.9018309692363004,0.1064148133006288,0.1079345315042081
180,94.5000000000008,0.908882574121378,0.1058815211085681,0.107428491384505
184,95.10000000000082,0.9133369113346936,0.1053634117679332,0.1069375322425434
188,95.80000000000082,0.9185976010484684,0.1048597152177345,0.1064608869575765
192,96.50000000000082,0.9229280285030834,0.1043697158518962,0.1059978427160142
196,97.10000000000085,0.926382514011857,0.1038927476314137,0.1055477361339948
200,97.80000000000084,0.9311182527283586,0.1034281897243221,0.1051099489068314
204,98.50000000000084,0.9360986457680774,0.1029754626072551,0.1046839039192167
220,99.50000000000088,0.7924916888412927,0.1030868600999621,0.1030868600999621
240,109.200000000001,0.776533050847564,0.1012991224312477,0.1012991224312477
260,112.60000000000106,0.7634513523576023,0.0997026562032795,0.0997026562032795
280,115.30000000000108,0.7496582185353157,0.0982642726605252,0.0982642726605252
300,117.70000000000113,0.7344344465146204,0.0969584233557381,0.0969584233557381
320,120.00000000000117,0.7183233618489185,0.0957650652118093,0.0957650652118093
340,122.3000000000012,0.7018569408446637,0.094668214441639,0.094668214441639
360,124.80000000000116,0.6855582259384859,0.0936549406767881,0.0936549406767881
380,135.90000000000083,0.7050369145268951,0.0927146509070659,0.0927146509070659
400,137.70000000000073,0.69544661112331,0.0918385692449884,0.0918385692449884
420,139.40000000000063,0.6849804258515042,0.0910193520785658,0.0910193520785658
440,141.1000000000005,0.6739140463405114,0.0902507987551215,0.0902507987551215
460,142.80000000000044,0.6624854347443896,0.0895276309125886,0.0895276309125886
480,144.50000000000034,0.6507026607493843,0.0888453219560789,0.0888453219560789
500,146.40000000000023,0.6392328589478882,0.0881999637121802,0.0881999637121802
30,28.899999999999928,0.8334366262524975,0.1640488068466308,0.1640488068466308
90,60.900000000000325,0.9064979663395007,0.1251135791201573,0.1251135791201573
150,78.70000000000059,0.7909688621409265,0.1116554091595433,0.1116554091595433
210,98.20000000000086,0.7944656659474452,0.1040656827064963,0.1040656827064963
270,114.00000000000108,0.756848004734089,0.0989654507687355,0.0989654507687355
330,121.1000000000012,0.7104153536315714,0.0952054465854849,0.0952054465854849
390,136.80000000000078,0.7002374958714674,0.0922690728269012,0.0922690728269012
450,141.9000000000005,0.6683360849956964,0.0898838404620844,0.0898838404620844
510,147.50000000000017,0.6335230071937628,0.0878900625033725,0.0878900625033725
540,153.49999999999983,0.6189847067086963,0.0870069475862737,0.0870069475862737
570,156.39999999999966,0.6072241220957898,0.086186868299274,0.086186868299274
600,158.69999999999953,0.5961990858800861,0.0854222753007057,0.0854222753007057
630,160.7999999999994,0.5866230964965826,0.0847068488192562,0.0847068488192562
660,173.1999999999987,0.5613066531850341,0.0840352505458073,0.0840352505458073
690,175.49999999999858,0.5509546721273164,0.0834029343671661,0.0834029343671661
720,177.59999999999846,0.5406425920410621,0.0828060000840463,0.0828060000840463
750,179.59999999999835,0.5304112279977586,0.0822410789998896,0.0822410789998896
800,196.2999999999974,0.5554818256283998,0.0813629014400488,0.0813629014400488
10,10.199999999999996,0.8781029595129249,0.1461994700101245,0.1461994700101245
50,22.69999999999996,0.931390795173584,0.1108664244891862,0.1108664244891862
70,26.39999999999993,0.8816742483622898,0.104232171594154,0.104232171594154
110,34.799999999999955,0.9207263471975736,0.0961253907189219,0.0961253907189219
130,36.899999999999984,0.9403453653954544,0.0933611951475315,0.0933611951475315
170,40.50000000000004,0.9386577675662444,0.089174239171379,0.089174239171379
190,42.20000000000006,0.923737610607709,0.0875261474359935,0.0875261474359935
230,47.40000000000013,0.8851297499721946,0.0848102940694609,0.0848102940694609
250,51.40000000000019,0.8927583451490163,0.0836691810627864,0.0836691810627864
290,54.90000000000024,0.9069178574235888,0.0817019190291203,0.0817019190291203
310,56.60000000000026,0.9081741574228164,0.0808438697326328,0.0808438697326328
350,61.10000000000033,0.9074433842402676,0.0793223685664721,0.0793223685664721
370,64.30000000000038,0.9174299812999038,0.0786424792226666,0.0786424792226666
410,67.00000000000041,0.9360639588405916,0.0774134849282658,0.0774134849282658
430,68.10000000000042,0.9416525063166796,0.0768549077901622,0.0768549077901622
470,70.00000000000045,0.9451767642307656,0.0758310017925734,0.0758310017925734
490,70.90000000000046,0.9440268021814092,0.075359763208022,0.075359763208022
520,72.10000000000048,0.93974602631274,0.0746969599290684,0.0746969599290684
530,72.50000000000048,0.9374902300674784,0.0744867487558544,0.0744867487558544
550,73.3000000000005,0.9329995086929084,0.074081060184856,0.074081060184856
560,73.7000000000005,0.9304707963122636,0.0738851790875839,0.0738851790875839
580,74.50000000000051,0.9243742820345376,0.0735064205944761,0.0735064205944761
590,74.90000000000052,0.9213820530643164,0.0733232052086101,0.0733232052086101
610,75.80000000000054,0.9151167219593136,0.0729683260707654,0.0729683260707654
620,76.30000000000055,0.9119020808957052,0.0727963767518444,0.0727963767518444
640,77.70000000000056,0.9056736609836848,0.0724628001484071,0.0724628001484071
650,84.50000000000065,0.924648196435467,0.0723009295958072,0.0723009295958072
670,85.30000000000067,0.9320446262602426,0.0719864609238282,0.0719864609238282
680,85.70000000000067,0.9353574135628658,0.071833654017235,0.071833654017235
