spins,mu,alpha,z_trap_frequency,analytical_gamma,start_gamma,end_gamma,optimum_gamma,fidelity,naive_fidelity,time,switch_time
4,39247264.89638044,0.4999994060342413,15330206.075737365,75525.74731591067,53946.96236850763,105736.04624227493,53950.68619681402,0.9843018890988771,0.5954230631594511,8.180999999999643e-05,5.882607052631446e-05
6,38462032.78340141,0.5007835223231414,10657532.409930754,150185.52091762554,107275.37208401827,210259.72928467573,110753.61163159576,0.9890159252801306,0.7194348024068343,4.753000000000502e-05,3.6231176344137574e-05
8,38163769.156049654,0.4999703733853907,8296603.004056727,247188.60777730765,176563.29126950548,346064.0508882307,193479.02230614552,0.9903735515613549,0.7801463241307901,3.207000000000255e-05,2.5418587707893527e-05
10,38015229.6565637,0.5000450859458685,6828692.485320201,365149.89122515626,260821.3508751116,511209.84771521867,294980.31150510634,0.9894398791768755,0.8163477928978118,2.3630000000001202e-05,1.9238167393316115e-05
12,37930270.368398845,0.5003753878444354,5828901.475286705,501765.87539766275,358404.19671261625,702472.2255567277,414691.97475353326,0.9855558348980915,0.840612355557707,1.843000000000037e-05,1.5336433500728712e-05
14,37874020.67584103,0.49994365294624915,5069258.364262918,666134.9651975406,475810.68942681473,932588.9512765567,560730.5796261872,0.9795314991984888,0.8582294752961704,1.4729999999999869e-05,1.2477760988872904e-05
16,37838868.010659374,0.49980664630002974,4529379.067831493,836793.223145107,597709.445103648,1171510.5124031499,715115.2425882741,0.9722790905894683,0.8716686974963946,1.2359999999999892e-05,1.061883106906551e-05
18,37811871.33083533,0.4983966871767577,4076077.5055811144,1040840.5779363392,743457.5556688138,1457176.8091108745,901682.2825157787,0.964882873361272,0.8824666994048278,1.042999999999991e-05,9.054967840950016e-06
20,37793929.89242434,0.49986334006320127,3726902.7190767513,1240576.4503830762,886126.0359879116,1736807.0305363066,1088642.1324369574,0.9576451703239973,0.891012823336165,9.149999999999923e-06,8.008041957211433e-06
22,37779306.46568239,0.5000292623562226,3425262.682000916,1470142.8577445885,1050102.0412461348,2058200.0008424236,1304800.0392742183,0.9517818921087332,0.8982594338365282,8.069999999999933e-06,7.087395637237122e-06
24,37766865.07680758,0.4974800848444217,3161647.67927577,1744720.007077461,1246228.576483901,2442608.0099084456,1569391.766945504,0.9485119296311189,0.9047465462738391,7.099999999999942e-06,6.237560262540245e-06
26,37759081.225075416,0.4999957571975023,2960453.9752684766,1973448.8618356017,1409606.3298825726,2762828.4065698422,1793680.8576132508,0.9462493669915941,0.9097790836960523,6.5499999999999475e-06,5.739785620085952e-06
28,37752246.45315639,0.5008612302519971,2781611.189932981,2230351.5769719137,1593108.269265653,3122492.2077606795,2041516.9579758728,0.9468593721042897,0.9143321923849433,6.039999999999952e-06,5.270363417097725e-06
30,37745694.57676297,0.5031542451565962,2592936.2143869833,2546411.9862097222,1818865.7044355164,3564976.7806936116,2349852.3359495145,0.9491601545072359,0.9181488676930579,5.509999999999957e-06,4.778227597817604e-06
32,37740450.35456523,0.5014316604174989,2449784.351591553,2874121.0604391294,2052943.6145993783,4023769.484614781,2668439.373477122,0.9545578407330497,0.9220426985295983,5.049999999999962e-06,4.372248193483955e-06
34,37735869.77063216,0.4990364517395011,2319944.8477784544,3237463.663744764,2312474.045531974,4532449.129242669,3022095.877234783,0.9610147971568406,0.9256543700857632,4.619999999999966e-06,4.001008100406711e-06
36,37732690.14508682,0.49675098325072997,2226573.672497269,3549094.0855451073,2535067.2039607908,4968731.7197631495,3320834.6495292406,0.9675947299698903,0.9289358326187689,4.319999999999969e-06,3.7555073191101226e-06
38,37730081.459967144,0.5019341017000495,2117152.9013584764,3847937.822907293,2748527.0163623528,5387112.95207021,3605228.00447452,0.9717186073863475,0.9309554453854295,4.089999999999971e-06,3.5587594002289088e-06
40,37726674.98907468,0.49685180692526437,2016478.4471859445,4331062.212063158,3093615.865759399,6063487.096888421,4064206.812450697,0.9783458429578914,0.9341124735040232,3.7099999999999746e-06,3.2439223391780207e-06
42,37724877.59751293,0.4978047541624046,1945856.1543771382,4635946.905683275,3311390.646916625,6490325.667956585,4357986.868185528,0.9827173689711537,0.9362618894042105,3.5399999999999763e-06,3.105425154922163e-06
44,37723159.20094502,0.5035261766217533,1858910.6953071095,4966062.175919214,3547187.2685137247,6952487.0462869,4672818.376016608,0.9855960440826959,0.9375860473865687,3.369999999999978e-06,2.9672153048739404e-06
46,37721120.666427515,0.503528700147427,1778056.8576998126,5429732.1890103,3878380.135007357,7601625.064614419,5119294.9835335165,0.9889622376491216,0.9395283755586924,3.13999999999998e-06,2.7748236113722264e-06
48,37719758.08048604,0.5032154766247611,1722912.6929953285,5791982.367219512,4137130.2622996517,8108775.3141073175,5455123.808459953,0.9916584961891168,0.9413768417627405,2.9899999999999815e-06,2.657224588432362e-06
50,37718257.96025644,0.5053935078830528,1651773.679520473,6247371.882396183,4462408.487425845,8746320.635354657,5901188.302908208,0.993391595517533,0.9427589870933163,2.8099999999999833e-06,2.5143313962485243e-06
52,37717527.46753356,0.5102490663666105,1604167.1570190943,6493989.915359336,4638564.225256668,9091585.88150307,6131017.522927668,0.9944248588120413,0.9436486359933117,2.749999999999984e-06,2.4667488636726195e-06
