spins,mu,alpha,analytical_gamma,start_gamma,end_gamma,optimum_gamma,fidelity,naive_fidelity,time,z_trap_frequency,switch_time
4,38863872.573686026,0.39922977484414557,107800.5137868886,77000.3669906347,150920.719301644,150917.54971622076,0.9931390861884845,0.5905382475082002,7.35500000000007e-05,15330206.075737365,4.121393101095534e-05
6,38261284.32925033,0.39998680300486095,215698.96526347988,154070.6894739142,301978.5513688718,301948.31999559887,0.9970127989283598,0.7172804694637437,4.4180000000004486e-05,10657532.409930754,2.522681592865267e-05
8,38038844.956637815,0.4011783195007504,354109.8738769904,252935.62419785027,495753.8234277866,283083.222163575,0.9946193541862578,0.7810355436736096,2.193000000000093e-05,8296603.004056727,1.7743603809709693e-05
10,37926831.01232741,0.4000474466891949,527793.9397772434,376995.6712694596,738911.5156881406,436517.02247423923,0.9938128221692945,0.8196010619835492,1.597999999999998e-05,6828692.485320201,1.330976769836646e-05
12,37863978.9783409,0.39999995407214006,729170.9077760163,520836.3626971545,1020839.2708864228,617565.869030257,0.9906644050470524,0.8456436105740353,1.2409999999999891e-05,5828901.475286705,1.0553491505087575e-05
14,37823036.53379887,0.3998285002102921,970831.7270200527,693451.233585752,1359164.4178280735,1269960.944293262,0.9943137967207646,0.8645358969664125,1.5159999999999865e-05,5069258.364262918,8.561599967050108e-06
16,37797627.33498464,0.4000512833609456,1222146.1461607732,872961.532971981,1711004.6046250823,1589501.1773917878,0.9959513025255815,0.8789185478930395,1.2789999999999888e-05,4529379.067831493,7.270624633748024e-06
18,37778615.156983465,0.40033236784351095,1515544.0204051381,1082531.4431465273,2121761.628567193,1960790.3112964802,0.9941257249415536,0.8902790285976651,1.0849999999999906e-05,4076077.5055811144,6.218742467308821e-06
20,37765201.20058402,0.39993959464992607,1824685.6674405856,1303346.9053147042,2554559.93441682,2352984.6877978207,0.9887365278024526,0.8995490489525355,9.41999999999992e-06,3726902.7190767513,5.444547761330835e-06
22,37755094.16684926,0.401673277386935,2154807.376584411,1539148.1261317225,3016730.3272181754,2779909.9019462196,0.9783973599528213,0.9071180256498048,8.279999999999931e-06,3425262.682000916,4.8354596282338025e-06
24,37746340.570061676,0.4000348996486716,2556641.785683181,1826172.7040594153,3579298.499956453,2343833.182779997,0.971586389753072,0.913721620740424,4.7699999999999645e-06,3161647.67927577,4.25667617823794e-06
26,37740160.75386082,0.3986545697600947,2943878.6152249705,2102770.439446408,4121430.061314959,2718298.6790116453,0.9731468245697121,0.9193905506522682,4.309999999999969e-06,2960453.9752684766,3.847703957818708e-06
28,37735205.77087122,0.3984331558969638,3349735.6995094894,2392668.356792493,4689629.979313284,3111683.606765334,0.9756016436971577,0.9242491286973452,3.9299999999999725e-06,2781611.189932981,3.5091614422774544e-06
30,37730788.626079135,0.40166117201739654,3816496.7256202484,2726069.089728749,5343095.4158683475,3561274.8151253387,0.9780733039667143,0.9282706143226159,3.569999999999976e-06,2592936.2143869833,3.1880902572878346e-06
32,37727308.23634402,0.4016292656228902,4289368.782747682,3063834.8448197735,6005116.295846755,4017891.8303384474,0.9815701611363652,0.9320350468931548,3.269999999999979e-06,2449784.351591553,2.9296549797495872e-06
34,37724499.37998447,0.4032448402027106,4764575.447692747,3403268.1769233914,6670405.626769846,4477156.487432191,0.9847717870637811,0.9352753032296925,3.029999999999981e-06,2319944.8477784544,2.718630124681467e-06
36,37722376.15029486,0.40255104844857775,5201711.361265061,3715508.1151893297,7282395.905771086,4898889.276621308,0.9881284943589049,0.9383433181806432,2.839999999999983e-06,2226573.672497269,2.5623584026072446e-06
38,37719982.358077474,0.4011922380683462,5801229.792289627,4143735.5659211627,8121721.709205478,5472002.801803736,0.991089787058307,0.9411698443512537,2.609999999999985e-06,2117152.9013584764,2.360514130463878e-06
40,37718235.83334919,0.4041749771470154,6330349.318534852,4521678.084667752,8862489.045948792,5986779.009187473,0.9930977505200095,0.9434325503387793,2.439999999999987e-06,2016478.4471859445,2.219408243545905e-06
42,37717008.902516045,0.4058825154215403,6764672.987046072,4831909.27646148,9470542.181864502,6403760.075599804,0.9947682953411379,0.9455723753453368,2.329999999999988e-06,1945856.1543771382,2.1282013432668473e-06
44,37715007.62383362,0.39977682554374744,7623944.979638811,5445674.985456294,10673522.971494336,7230114.35868969,0.9962889538881964,0.9480916416114281,2.09999999999999e-06,1858910.6953071095,1.932775712927715e-06
46,37713373.629087955,0.3955640410255023,8503353.67600321,6073824.054288008,11904695.146404494,8075714.437153217,0.9969940096601586,0.95029526520739,1.9199999999999918e-06,1778056.8576998126,1.7718361079125714e-06
48,37712503.13198264,0.3960306151123,9057244.77552689,6469460.553947778,12680142.685737645,8607595.731929466,0.997051126795688,0.9520291387334108,1.8299999999999924e-06,1722912.6929953285,1.6992582560569083e-06
50,37711585.259717226,0.39963460184012933,9721622.746986568,6944016.247847549,13610271.845781194,9253483.853825618,0.996669429425562,0.9534201553736169,1.7299999999999934e-06,1651773.679520473,1.615775851085972e-06
52,37710388.00939233,0.3900368206209262,10766236.632770589,7690169.0234075645,15072731.285878824,10278728.333873397,0.9958878532953566,0.9555803767398363,1.5899999999999947e-06,1604167.1570190943,1.487896169368492e-06
