spins,analytical_gamma,start_gamma,end_gamma,optimum_gamma,fidelity,naive_fidelity,time
12,0.1331630700264699,0.1064964033598032,0.18649640335980322,0.1464964033598032,0.9543359983579168,0.8144215788703694,13.999999999999982
16,0.1137421097370348,0.08440877640370151,0.1644087764037015,0.12174210973703484,0.9852305634488513,0.8520159378338796,16.099999999999973
20,0.1004997587355275,0.0684997587355275,0.1484997587355275,0.1084997587355275,0.9911112810209939,0.8756767946249312,17.59999999999997
24,0.0907907656320292,0.0561240989653625,0.1361240989653625,0.0961240989653625,0.9850248195892931,0.8921038163324451,19.099999999999966
28,0.0833078833672337,0.048641216700567,0.128641216700567,0.088641216700567,0.9712773206274341,0.9042612214881184,20.69999999999996
32,0.0773274867348183,0.039994153401484996,0.119994153401485,0.079994153401485,0.9664000866238869,0.9136716168927488,22.89999999999995
36,0.0724144617802097,0.03508112844687639,0.1150811284468764,0.0750811284468764,0.9751201445584701,0.9212016137316223,24.599999999999945
40,0.0682902634225202,0.030956930089186797,0.1109569300891868,0.0709569300891868,0.9844084214134883,0.9273828943181316,25.89999999999994
44,0.0647676252915449,0.0274342919582116,0.10743429195821161,0.0674342919582116,0.9883767322734853,0.9325609049227828,26.899999999999935
48,0.0617155981900534,0.024382264856720105,0.10438226485672011,0.0643822648567201,0.9861018168105442,0.9369704802593928,27.899999999999935
52,0.0590396114413421,0.0217062781080088,0.10170627810800881,0.0617062781080088,0.978269925592868,0.9407772179608456,28.59999999999993
56,0.0566695017673816,0.019336168434048298,0.0993361684340483,0.0593361684340483,0.9659899507684637,0.9441014802047244,29.299999999999926
60,0.0545520118069638,0.0172186784736304,0.0972186784736304,0.05455201180696373,0.9585671988752551,0.9470330032315436,31.29999999999992
64,0.0526459165241962,0.0126459165241962,0.09264591652419621,0.0526459165241962,0.9555981635450006,0.9496401549616996,32.39999999999992
68,0.0509187574629753,0.010918757462975298,0.0909187574629753,0.0509187574629753,0.9565904917275534,0.9519760050634872,34.69999999999995
72,0.0493445950159386,0.009344595015938602,0.08934459501593861,0.0493445950159386,0.9629563266439602,0.9540824236002962,36.299999999999976
76,0.0479024247212914,0.0079024247212914,0.0879024247212914,0.0479024247212914,0.9694278313406942,0.9559929200738354,37.29999999999999
80,0.0465750381433756,0.006575038143375601,0.08657503814337561,0.0465750381433756,0.9742752115730131,0.957734654499022,38.1
84,0.0453481883637563,0.0053481883637563,0.0853481883637563,0.0453481883637563,0.9772635606536312,0.959329890472158,38.70000000000001
88,0.0442099685143852,0.0042099685143852025,0.0842099685143852,0.0442099685143852,0.978458096537087,0.9607970637495008,39.50000000000002
92,0.0431503420825254,0.0031503420825253967,0.08315034208252539,0.0431503420825254,0.9782038999580953,0.9621515806037886,40.00000000000003
96,0.0421607831503191,0.002160783150319097,0.0821607831503191,0.0421607831503191,0.9769461049275032,0.9634064228609268,40.70000000000004
100,0.0412339974731933,0.0012339974731932976,0.08123399747319329,0.0412339974731933,0.9750415641233692,0.964572612394364,41.50000000000005
104,0.0403637038228975,0.0003637038228975001,0.08036370382289751,0.0403637038228975,0.9730504911095916,0.9656595719452118,42.500000000000064
108,0.0395444608243361,-0.00045553917566389796,0.07954446082433611,0.0395444608243361,0.9717783876020945,0.9666754084406406,43.50000000000008
112,0.0387715285334022,-0.0012284714665978039,0.07877152853340219,0.0387715285334022,0.97200988733621,0.9676271376657676,44.700000000000095
116,0.0380407568274267,-0.0019592431725733023,0.0780407568274267,0.0380407568274267,0.97366917647126,0.9685208640573184,45.90000000000011
120,0.0373484946930953,-0.0026515053069047015,0.0773484946930953,0.0373484946930953,0.9758611217340848,0.969361925798381,46.700000000000124
