spins,time,fidelity,gamma,optimum_gamma
28,11.619999999999795,0.8165310241218148,0.1233716351437207,0.1233716351437207
32,12.399999999999778,0.8106176328039847,0.12039030191369195,0.12039030191369195
36,13.159999999999766,0.8055491097164156,0.1178053679579253,0.1178053679579253
40,13.939999999999747,0.8017046022469505,0.11553399562399545,0.11553399562399545
44,14.73999999999973,0.799488858007523,0.11351564635541367,0.11351564635541367
48,15.599999999999714,0.7993304407709168,0.11170500714809674,0.11170500714809674
52,16.489999999999778,0.8015554359185991,0.11006742882956523,0.11006742882956523
56,17.359999999999914,0.8060866563250485,0.10857591187081472,0.10857591187081472
60,18.16000000000004,0.812339827096881,0.10720906470437956,0.10720906470437956
64,18.870000000000147,0.8195697451382518,0.10594968794681556,0.10594968794681556
72,20.09000000000034,0.8347789599324984,0.10369976844005717,0.10369976844005717
80,21.130000000000503,0.8490580577875004,0.10174057652639673,0.10174057652639673
88,22.030000000000644,0.8614432714906431,0.1000118383019184,0.1000118383019184
96,22.85000000000077,0.871684944815138,0.09846966641682604,0.09846966641682604
104,23.600000000000893,0.8798248558940662,0.09708121269965453,0.09708121269965453
112,24.30000000000101,0.8860229347500883,0.09582131496545572,0.09582131496545572
120,24.9500000000011,0.8904808982698499,0.09467031389305494,0.09467031389305494
128,25.560000000001196,0.8934062821617959,0.09361258547321437,0.09361258547321437
144,26.700000000001374,0.8954354416411586,0.09172883874482664,0.09172883874482664
160,27.750000000001545,0.8934953861723901,0.09009391634433206,0.09009391634433206
176,28.73000000000169,0.8886957104359823,0.08865487806366139,0.08865487806366139
192,29.670000000001842,0.8819091726632081,0.08737356576113098,0.08737356576113098
208,30.590000000001982,0.8738324620242439,0.08622164857947838,0.08622164857947838
224,31.510000000002126,0.8650481404465178,0.08517756597287594,0.08517756597287594
240,32.48000000000211,0.8561019102782499,0.08422456310536793,0.08422456310536793
256,33.610000000001875,0.8476717599276599,0.08334938413240525,0.08334938413240525
288,40.75000000000046,0.8655506763303169,0.08179186545306764,0.08179186545306764
320,42.430000000000135,0.8872133546585871,0.08044090724169366,0.08044090724169366
352,43.82999999999985,0.9026280286982457,0.07925217496195561,0.07925217496195561
384,45.0899999999996,0.9125556830381332,0.07819383644695183,0.07819383644695183
416,46.23999999999937,0.9179838292266616,0.07724232856051791,0.07724232856051791
448,47.31999999999916,0.9198261980791712,0.07637976171372593,0.07637976171372593
480,48.35999999999895,0.9188694969445598,0.07559226024810663,0.07559226024810663
512,49.37999999999874,0.9157778923514108,0.0748688631185738,0.0748688631185738
544,50.37999999999855,0.9111184354980784,0.07420077348836261,0.07420077348836261
576,51.41999999999834,0.9053955848129002,0.07358083303618218,0.07358083303618218
608,52.53999999999812,0.8991098415039172,0.07300314526357808,0.07300314526357808
640,53.95999999999786,0.8929284417359206,0.07246280014840717,0.07246280014840717
704,61.2099999999964,0.8988265021084625,0.07147825112809213,0.07147825112809213
768,63.359999999995956,0.9077314060457146,0.07060099505708094,0.07060099505708094
832,65.20999999999646,0.9129735210813434,0.0698116570744916,0.0698116570744916
896,66.99999999999737,0.9151611047989152,0.06909553333414314,0.06909553333414314
960,68.95999999999837,0.91538487447091,0.06844122172196868,0.06844122172196868
1024,72.3300000000001,0.915841620578698,0.06783971603843612,0.06783971603843612
1088,75.99000000000197,0.921658390106322,0.06728378830767086,0.06728378830767086
1152,77.74000000000287,0.9274834724212998,0.06676755640099337,0.06676755640099337
1216,79.14000000000358,0.9315244931203156,0.0662861744034701,0.0662861744034701
1280,80.37000000000421,0.9336573099661756,0.06583560639344795,0.06583560639344795
1344,81.5100000000048,0.9340267311314518,0.06541245820473418,0.06541245820473418
1408,82.59000000000535,0.9328490925118856,0.06501385031248473,0.06501385031248473
1472,83.63000000000588,0.9303559401408644,0.06463732041485935,0.06463732041485935
1536,84.6600000000064,0.9267763585251034,0.06428074780796629,0.06428074780796629
1600,85.71000000000693,0.9223367245773048,0.06394229399040516,0.06394229399040516
1664,96.63000000001252,0.9244848169316168,0.06362035551600144,0.06362035551600144
1728,97.62000000001305,0.9318132979367212,0.06331352620305078,0.06331352620305078
