spins,mu,alpha,z_trap_frequency,analytical_gamma,optimum_gamma,fidelity,fidelity_lower_error,fidelity_upper_error,noiseless_fidelity,naive_fidelity,time,noiseless_time,switch_time
4,38225586.22333117,0.1999990767514964,15399888.83062708,17025.06737074611,12161.519486779622,0.9663053238208485,0.959921605797313,0.9726890418443841,0.9985575571829848,0.5783111109743838,0.00035600000000000215,0.0003563399999998,0.0002609612544495
6,37942716.16175384,0.1999678695662903,10687553.627986897,15286.746725533778,12136.591723252715,0.9737225625835793,0.9687752430155818,0.9786698821515767,0.9985712236692412,0.7085403949939671,0.00044200000000000424,0.0004425299999998,0.0003559552722629
8,37841505.299135424,0.1999291083090028,8296603.004056727,14311.556505877268,11979.503636421068,0.9765872311197863,0.9721423872617798,0.9810320749777928,0.9990265674288754,0.7766112576799706,0.0005210000000000062,0.0005212799999999,0.0004390287880007
10,37793350.7790037,0.2000394743048689,6828692.485320201,13635.333398675455,11792.258802298766,0.9807378696864268,0.9770282382821667,0.984447501090687,0.9986089151337384,0.8184720276947959,0.000595000000000008,0.0005945200000003,0.0005151920034256
12,37766415.705403976,0.1999948173038172,5828901.475286705,13135.945642202483,11620.006339506646,0.9804265088031598,0.9768521358210029,0.9840008817853167,0.9975464832826082,0.8468688479675808,0.0006640000000000096,0.0006629300000006,0.0005858199470807
14,37749726.77199087,0.1999679389429115,5097684.1120999055,12751.333641618852,11472.069397581276,0.9819774182442766,0.9788369297563215,0.9851179067322318,0.9963389040424596,0.8674362579875358,0.0007280000000000112,0.0007273400000009,0.0006518434162005
16,37738560.77864491,0.1996028426476368,4538089.412192708,12468.438487340636,11363.147313445645,0.9819648176374092,0.9789180349816806,0.9850116002931377,0.9953851060742152,0.8830393041303896,0.0007880000000000126,0.0007870000000012,0.0007126606820363
18,37730670.16682014,0.1990135185782828,4092220.386791337,12271.881149510356,11286.476014174004,0.9821048598494976,0.9791275866030409,0.9850821330959543,0.9948775706950388,0.8952973938200921,0.000843000000000014,0.0008416600000015,0.0007679978192377
20,37725148.80194278,0.1993516747769351,3734431.815478927,12013.174671376571,11147.993927271991,0.983631719041278,0.9808715770904549,0.9863918609921011,0.99480235884333,0.9051900827332408,0.0009020000000000154,0.0009007900000018,0.0008269744291213
22,37720859.81302827,0.1991863787700249,3432325.0792833925,11858.98186842218,11080.015064956664,0.9843616160982949,0.9816589416958704,0.9870642905007193,0.9951511514003256,0.9133459682785642,0.0009540000000000167,0.000952340000002,0.0008786153981598
24,37717958.231318094,0.2021086388758921,3181615.9804080385,11472.724963455832,10775.986641752228,0.9846467020712177,0.9818288185286522,0.9874645856137833,0.9956046619254796,0.9201712882168228,0.001026000000000013,0.0010244400000018,0.0009485798901368
26,37714986.87554735,0.19832536291818,2966752.813513729,11591.7490377038,10942.887579743345,0.9877448291988209,0.9853367939019123,0.9901528644957295,0.996566498423878,0.9260192765639944,0.0010520000000000108,0.0010505700000017,0.0009771755204754
28,37713148.431133166,0.2005483089493918,2781611.189932981,11285.523406598611,10693.486197916522,0.9880630532009099,0.9855547857220579,0.990571320679762,0.997249186766202,0.9310230641155524,0.0011180000000000053,0.0011163500000013,0.0010415789268281
