time,fidelity
0.0,1.0
2.008743851256859e-08,0.9999996769209366
4.014121357683495e-08,0.999999238496987
5.996768731674116e-08,0.9999992498158015
7.963363859759765e-08,0.9999992397625774
9.965648008738078e-08,0.9999986005824001
1.1991359635442306e-07,0.9999977292038337
1.3987833572631972e-07,0.9999973030124706
1.595295710168073e-07,0.9999969565108798
1.7960056366176521e-07,0.9999959990197794
2.0011132946852724e-07,0.9999947023019644
2.2027872823060718e-07,0.9999938386434823
2.399322572223706e-07,0.9999931427547863
2.6009267936244844e-07,0.9999918548549805
2.807784369103587e-07,0.9999901464758677
3.011042060736093e-07,0.9999888548189501
3.2076510324312345e-07,0.9999878049970461
3.4102785692710507e-07,0.9999861774292457
3.617813813071778e-07,0.9999840761296814
3.82195475333949e-07,0.9999823720478977
4.018616079519709e-07,0.999980971694303
4.2221216336266407e-07,0.9999790048476782
4.429514167833077e-07,0.9999765323887463
4.63414902400873e-07,0.9999744320083093
4.830922814956027e-07,0.9999726891267992
5.035204434032945e-07,0.9999703902996704
5.241874903695806e-07,0.9999675712409564
5.446815658445815e-07,0.9999650910248397
5.643817217286592e-07,0.9999630162684211
5.848301413425e-07,0.9999604051686856
6.055462699935344e-07,0.999957242340148
6.259619460262161e-07,0.9999544152220272
6.457002202432935e-07,0.9999520209063998
6.661145123121449e-07,0.999949122703703
6.868296417398507e-07,0.9999456440995834
7.071675694725527e-07,0.9999424900983164
7.269504240710051e-07,0.99993979130547
7.473217656032452e-07,0.9999366308950055
7.679994650612869e-07,0.9999328673090194
7.88269092964715e-07,0.9999294061097088
8.080995096525207e-07,0.999926419673962
8.284084912766528e-07,0.9999230269128384
8.490219939912765e-07,0.9999190118031033
8.692495268558419e-07,0.9999152609693791
8.891254296292255e-07,0.9999120055442603
9.093424570423123e-07,0.9999084147708904
9.298852580049746e-07,0.9999041813433673
9.501213876833086e-07,0.9999001546530369
9.700346125022018e-07,0.9998966510545755
9.90113606596057e-07,0.9998929012115827
1.0106126976746254e-06,0.9998884780980809
1.0309332892347921e-06,0.9998841853154873
1.0508737269854842e-06,0.99988045647303
1.0708355300961485e-06,0.9998765722971972
1.0913516279272667e-06,0.9998719794586457
1.1118259221513573e-06,0.9998674349496032
1.131788038616759e-06,0.9998635066924653
1.1516782327538298e-06,0.9998595035582064
1.1722725570450825e-06,0.9998547566555555
1.192917671710141e-06,0.9998499897603113
1.2129030633931254e-06,0.9998458910731253
1.2327630287134105e-06,0.9998417827286913
1.253461599375666e-06,0.9998369020875472
1.2742409135067782e-06,0.9998319568950857
1.2942525801071986e-06,0.9998277197567628
1.3141085616528672e-06,0.9998235239869706
1.3348996922611113e-06,0.9998185385214536
1.3557464766278166e-06,0.9998134672496612
1.375784946189482e-06,0.9998091252821777
1.3956485192195293e-06,0.9998048658283007
1.4164532720228782e-06,0.9997998236063864
1.4372695187391918e-06,0.9997946848204666
1.4573134551865097e-06,0.9997902739256987
1.4771674091193633e-06,0.9997859856467792
1.4979397819824325e-06,0.9997809328576555
1.5187148113996666e-06,0.9997757624459658
1.5387778887146987e-06,0.9997713094002155
1.558624107677195e-06,0.9997670239894187
1.5793568591481289e-06,0.9997619983446894
1.6000876857880774e-06,0.9997568306569437
1.6201887460072402e-06,0.9997523612032022
1.6400281984683675e-06,0.9997481100668706
1.660639798351851e-06,0.9997431675390142
1.681333797614004e-06,0.9997380335997613
1.7015008228453399e-06,0.9997335699445218
1.7213322654968432e-06,0.9997293849383238
1.741817259715679e-06,0.9997245625983966
1.762499007576151e-06,0.9997194900231309
1.7827861357500906e-06,0.9997150500763359
1.802607546256413e-06,0.9997109614611985
1.8229976555362447e-06,0.9997062842529827
1.843698363611738e-06,0.9997013005288249
1.8641170099333065e-06,0.9996969147019487
1.8839261233149648e-06,0.9996929514359308
1.904267243435098e-06,0.9996884382479742
1.924999215049572e-06,0.9996835756652028
1.9455487839258717e-06,0.999679279126582
1.965345420715166e-06,0.9996754689101903
1.9856762294055394e-06,0.9996711383975209
2.0064278238793915e-06,0.9996664338411094
2.0270953021582513e-06,0.9996622649476667
2.0468814275640442e-06,0.9996586346044163
2.0672257782005863e-06,0.999654507963759
2.087975809533461e-06,0.9996499984126176
2.1086625710753733e-06,0.9996460097634419
2.1284389913644862e-06,0.9996425858163253
2.14881347721947e-06,0.9996386878171005
2.1695379344809854e-06,0.9996344078417249
2.190236501966332e-06,0.999630629513462
2.210006482236444e-06,0.999627436752776
2.2304226182812712e-06,0.9996237926157926
2.2510935186957257e-06,0.9996197749240173
2.271798454697095e-06,0.999616234232585
2.2915674473370407e-06,0.9996132956024374
2.312033252801541e-06,0.9996099304915563
2.332703865038337e-06,0.9996061904796575
2.353395177074409e-06,0.9996029169724532
2.3731729375819726e-06,0.9996002534492702
2.39362942534505e-06,0.9995972006761902
2.414332554446101e-06,0.9995937571253776
2.434999610703907e-06,0.9995907751817774
2.4547956170335614e-06,0.9995884063149133
2.4752416985142213e-06,0.9995856866828507
2.4959607950460228e-06,0.9995825650401868
2.5166071492571695e-06,0.9995798941910916
2.5364257830285624e-06,0.999577838488416
2.5568669952781663e-06,0.9995754699104503
2.5775922452890477e-06,0.9995726917426422
2.5982230573345188e-06,0.9995703493571506
2.618068850586294e-06,0.999568623449261
2.6385101070959385e-06,0.9995666216995414
2.6592351981825524e-06,0.9995642052818071
2.6798560537483584e-06,0.9995622068257997
2.6997344487639265e-06,0.9995608253864564
2.7201726554578067e-06,0.999559204555684
2.7408947678874407e-06,0.9995571649395077
2.7614459315109512e-06,0.9995555278457294
