time,purity
0.0,1.0
2.0042907464748042e-08,0.999999356282688
4.0085814929496084e-08,0.9999984785433299
5.99135084234334e-08,0.9999984995258347
7.957835384486364e-08,0.9999984823490718
9.960087577386419e-08,0.9999972080384003
1.1986319115889033e-07,0.9999954645932847
1.3983109613471774e-07,0.9999946109436478
1.5948177417327626e-07,0.9999939207281273
1.7955356894760428e-07,0.9999920100576027
2.000693070393506e-07,0.9999894169762935
2.2024079652584488e-07,0.9999876890384405
2.3989388553577155e-07,0.9999863000389904
2.6005578460583626e-07,0.9999837285276622
2.8074422853791266e-07,0.999980313327919
3.0107247274259966e-07,0.9999777303478292
3.2073306950704324e-07,0.9999756337243981
3.4099757270637553e-07,0.9999723830279219
3.617515404767767e-07,0.999968183199441
3.8216698621812e-07,0.999964776281642
4.0183284114149953e-07,0.999961979004507
4.221849638663033e-07,0.9999580501799625
4.429229078041217e-07,0.999953109231787
4.633873203118632e-07,0.9999489104686743
4.830647515752077e-07,0.9999454285672658
5.0349454918533e-07,0.9999408362998538
5.241639885876086e-07,0.9999352019909272
5.446557970999211e-07,0.9999302451565064
5.64356538721143e-07,0.9999260998914103
5.848036333654318e-07,0.9999208843849887
6.055203075944869e-07,0.9999145638407294
6.259335686170035e-07,0.9999089138671424
6.456727720957538e-07,0.9999041299223814
6.66085582500793e-07,0.99989834109448
6.868000748539529e-07,0.9998913902421169
7.071355934775224e-07,0.99988508708178
7.269196000334937e-07,0.99987969460887
7.472890386494283e-07,0.999873382400303
7.679649802335359e-07,0.9998658629284092
7.882324992694781e-07,0.9998589458051466
8.080641669799881e-07,0.9998529784471633
8.2837046910472e-07,0.9998462027510776
8.489814341570277e-07,0.9998381815760216
8.692077184315058e-07,0.9998306853777597
8.890847858157864e-07,0.9998241804245261
9.092980040621752e-07,0.9998170100569883
9.298381986995821e-07,0.9998085534158899
9.500747258657576e-07,0.9998005053931173
9.699888568873113e-07,0.9997935044697173
9.900636915413e-07,0.9997860169066937
1.0105612040944147e-06,0.999777181611849
1.0308843026024964e-06,0.9997686012057874
