spins,mu,alpha,z_trap_frequency,analytical_gamma,optimum_gamma,fidelity,fidelity_lower_error,fidelity_upper_error,noiseless_fidelity,naive_fidelity,time,noiseless_time,switch_time
32,37706844.7185248,0.1597099223683759,2463394.2646559505,7365.6135636246145,7047.5814934331975,0.9842850465722859,0.9740886970953015,0.9944813960492702,0.9992792636133933,0.9394855794655936,0.0017949999999999483,0.0018027999999995,0.0017060860586575
34,37706128.62147772,0.1620232660996927,2332978.245799682,7191.442008086087,6869.620560934802,0.9849056874864792,0.9758865803346288,0.9939247946383296,0.999310134310116,0.9429050151382224,0.00189299999999994,0.0019003999999995,0.0018011851209883
36,37705563.79236224,0.1639525033170238,2226573.672497269,6980.73688297244,6695.400374103514,0.981854003568922,0.9703614550916422,0.9933465520462019,0.9994950024550788,0.9459522779013352,0.001998999999999941,0.0020089999999995,0.0019093469698
38,37705071.1195709,0.1675239281788975,2117152.9013584764,6786.72436111552,6535.429579982799,0.9802986633037032,0.9672329529199036,0.9933643736875027,0.9994842595600816,0.9486754497505508,0.0021069999999999553,0.0021179999999996,0.0020177458476473
40,37704638.30420996,0.1695922544025472,2028067.4037789672,6608.677084869914,6380.274007205288,0.9792271142907436,0.9659315167950148,0.9925227117864724,0.9993484181935296,0.9511367115719612,0.0022149999999999696,0.0022269999999996,0.0021259367467427
42,37704255.620207526,0.1717104000377443,1945856.1543771385,6443.907718883267,6232.771111843418,0.9775723076549123,0.9627878146636053,0.9923568006462193,0.9991535792686304,0.9533665243319196,0.002322999999999984,0.0023361999999997,0.0022341390916577
44,37703915.28527729,0.1755448896053846,1858910.6953071093,6290.200010543184,6079.026503346433,0.9740966562555435,0.957531944474734,0.9906613680363531,0.9989729824243484,0.9553838552511028,0.0024319999999999984,0.0024475999999997,0.0023425925516906
46,37703611.0059905,0.1777739672238264,1788516.0156862822,6147.553261165722,5948.527664174338,0.9719860389948347,0.9541560419666063,0.9898160360230631,0.998720515830007,0.9572374287439276,0.0025400000000000127,0.0025573999999998,0.0024508204226012
48,37703350.94486909,0.1804811504357815,1722912.6929953285,5996.103066920407,5806.047459852876,0.9688819516270136,0.9495016720075904,0.9882622312464369,0.9984513018310202,0.9589340690372689,0.002655000000000028,0.0026757999999999,0.0025667667466975
50,37703090.96509195,0.1823461254111767,1661605.6657080948,5889.074782793492,5721.630697466247,0.9684884112057534,0.9489041121685157,0.988072710242991,0.9981658800211154,0.9605026189226196,0.0027550000000000413,0.0027767999999999,0.0026673057903499
52,37702867.4552676,0.1846865621191244,1604167.1570190943,5771.45741595815,5597.850415422552,0.9633705911471869,0.9402780505873386,0.9864631317070353,0.9979757056027238,0.961947585076513,0.0028620000000000555,0.002889,0.0027755627547595
