time,phonons
0.0,"[1.0, 0.0, 0.0, 0.0]"
2.0967198730190832e-08,"[0.999999641920302, 3.580788904588453e-07, 1.840976134830223e-13, 9.553020934826774e-20]"
4.171191629183085e-08,"[0.9999990856085152, 9.143889814866454e-07, 1.3177866578722612e-12, 1.932564314415392e-18]"
6.221812653109629e-08,"[0.9999988255710147, 1.1744254191372358e-06, 1.8783452444191142e-12, 4.008470510862034e-18]"
8.260684123469913e-08,"[0.9999983760169874, 1.6239789786737874e-06, 1.8710179364667107e-12, 4.245169807466824e-18]"
1.033911265061173e-07,"[0.9999972171361912, 2.7828546974166203e-06, 6.375952764455314e-12, 1.5889879179973688e-17]"
1.2420670687631042e-07,"[0.9999958289665164, 4.171014607688934e-06, 1.5559534163389834e-11, 6.14940030470992e-17]"
1.448018042578901e-07,"[0.9999947464228951, 5.2535534809744485e-06, 1.978350679806403e-11, 8.303752730224146e-17]"
1.652287808496557e-07,"[0.9999935031829319, 6.496789417311844e-06, 2.332662746768923e-11, 6.768635104631651e-17]"
1.8607720654188833e-07,"[0.9999915314842295, 8.468466907753328e-06, 4.3948552652466236e-11, 1.6381795534034727e-16]"
2.069809784492691e-07,"[0.9999893069740088, 1.0692944512507169e-05, 7.595909651992035e-11, 4.2252849055249285e-16]"
2.2766378520060348e-07,"[0.9999873975794527, 1.2602320413969124e-05, 9.406775441968107e-11, 4.718857111849145e-16]"
2.4814303629630954e-07,"[0.999985348464005, 1.4651417078887241e-05, 1.1235454386687131e-10, 3.4330307922192935e-16]"
2.6905940950355704e-07,"[0.9999825500143324, 1.7449809314631867e-05, 1.691819764123822e-10, 7.22011199940631e-16]"
2.9003344855239547e-07,"[0.9999794874145904, 2.0512330474028e-05, 2.471383648088432e-10, 1.5757718780218428e-15]"
3.107848791217548e-07,"[0.9999767498312242, 2.3249863031953848e-05, 2.9738254116651823e-10, 1.5863623482462123e-15]"
3.313154304087168e-07,"[0.9999738843039577, 2.6115337230552873e-05, 3.4994294249579814e-10, 1.0865563281361575e-15]"
3.5229221069694465e-07,"[0.999970247696593, 2.9751821992649125e-05, 4.719179671896968e-10, 2.149828830492629e-15]"
3.733162752483389e-07,"[0.9999663474096773, 3.3651953098626545e-05, 6.270858028261023e-10, 4.269063233859292e-15]"
3.9411672398680504e-07,"[0.9999627824180951, 3.721683562085374e-05, 7.355690889261867e-10, 4.009355863259192e-15]"
4.1469456460799575e-07,"[0.9999590920925572, 4.0907045569081216e-05, 8.506404059840609e-10, 2.6537913836606e-15]"
4.3572263729386794e-07,"[0.9999546088591568, 4.5390053094468e-05, 1.0758716617559809e-09, 5.113425139728974e-15]"
4.5678053689630356e-07,"[0.9999498726300162, 5.012600998081725e-05, 1.3474715204049275e-09, 9.511670387866834e-15]"
4.776144494056067e-07,"[0.9999454820465469, 5.451639231055867e-05, 1.5480260030191096e-09, 8.466488303257767e-15]"
4.982365832735669e-07,"[0.9999409599548826, 5.903826864782042e-05, 1.7628256529482238e-09, 5.501831905078106e-15]"
5.193078941287271e-07,"[0.999935624048852, 6.437379811735294e-05, 2.138727562390465e-09, 1.0516244877455327e-14]"
5.403876282486075e-07,"[0.9999300544822637, 6.994292903119957e-05, 2.573737507135705e-09, 1.857310929585512e-14]"
5.612441097911598e-07,"[0.999924840382151, 7.515669442966917e-05, 2.907862068243336e-09, 1.579594437586842e-14]"
5.819097290837287e-07,"[0.9999194801443513, 8.051657070735443e-05, 3.2688481054431497e-09, 1.0192036907024869e-14]"
6.030176073205364e-07,"[0.9999132873799215, 8.670875113050549e-05, 3.852180220860073e-09, 1.9533470833701728e-14]"
6.241100608627039e-07,"[0.9999068877852217, 9.310769222417231e-05, 4.505111977694839e-09, 3.297533850008966e-14]"
6.449821030374221e-07,"[0.9999008520636362, 9.914289636636967e-05, 5.021965003725949e-09, 2.6913996734908545e-14]"
6.656929453268571e-07,"[0.9998946471453315, 0.00010534725094958318, 5.58514270942511e-09, 1.7401493734794496e-14]"
6.868319054927347e-07,"[0.9998875947605335, 0.00011239877820844317, 6.441990780186127e-09, 3.365099128680346e-14]"
7.079296328709425e-07,"[0.999880369173609, 0.00011962343181871416, 7.374621858533661e-09, 5.447691333863953e-14]"
7.288131621842573e-07,"[0.9998735133144347, 0.00012647853396560314, 8.131061121565229e-09, 4.277632270279218e-14]"
7.495735308468684e-07,"[0.9998664564003225, 0.00013353461621102945, 8.962376568824976e-09, 2.7944275960442657e-14]"
7.707400036803152e-07,"[0.999858542369221, 0.00014144744082427612, 1.0168154499700906e-08, 5.4711732069339806e-14]"
7.918374573322151e-07,"[0.9998504952588276, 0.00014949326942467886, 1.144925489733204e-08, 8.504750307662611e-14]"
8.127301880792668e-07,"[0.9998428203524923, 0.00015716711453918618, 1.2509893995848139e-08, 6.433171415930369e-14]"
8.335467948298887e-07,"[0.9998349027815274, 0.0001650835090639533, 1.3685774450855953e-08, 4.2807429883646265e-14]"
8.547400192721346e-07,"[0.9998261249427155, 0.00017385970758783322, 1.532532855089123e-08, 8.49760259205062e-14]"
