time,n_phonons
0.00016814007691429075,0.006861526441179357
0.0001681617404040658,0.006789410612185
0.00016818221792571733,0.006721674593100919
0.00016820230037110603,0.006655869334691418
0.00016822338196507852,0.006587064234172808
0.0001682450516091114,0.0065163870693256505
0.00016826547646659092,0.00645020524109075
0.00016828557448843556,0.006385708186112414
0.00016830667263829414,0.0063182764401517365
0.00016832834778956676,0.006249051133692507
0.00016834871584128167,0.006184438716865302
0.00016836883273767844,0.006121250720995513
0.00016838994765211676,0.0060552038554409614
0.00016841162769637433,0.005987443135168924
0.00016843206404979755,0.005924015207619902
0.00016845219678945851,0.005862160194223003
0.0001684733245253193,0.00579752259662687
0.0001684950115254288,0.005731231814885389
0.00016851551138584905,0.005669024953164166
0.00016853563606539318,0.005608588243143025
0.00016855677261616616,0.005545383404830289
0.0001685784674203944,0.005480571545485255
0.0001685990319567445,0.0054196026956964
0.00016861913264105334,0.005360640455359126
0.0001686402735428236,0.005298892114948539
0.00016866197604413735,0.0052355708047530855
0.00016868259590304785,0.005175886747422204
0.00016870265895619808,0.00511844423466006
0.00016872380564395204,0.005058158095814694
0.0001687455205659504,0.004996324845458228
0.00016876618825542272,0.004937964515709306
0.0001687862028270843,0.0048820757130015645
0.00016880735155588375,0.004823271938330876
0.00016882908175472355,0.004762930065160235
0.00016884979255843874,0.004705922446218539
0.0001688697511776067,0.004651609189566372
0.00016889089857965151,0.004594305881718332
0.00016891264242722777,0.004535471065256529
0.0001689333931615425,0.004479839313117708
0.0001689532992302322,0.004427092487524849
0.0001689744424334129,0.00437130549483524
0.0001689961982359905,0.004313992973641943
0.00016901698622353347,0.004259757921145352
0.0001690368524301928,0.004208544927528202
0.00016905798842363435,0.004154289626284667
0.00016907975464187,0.00409851373147191
0.00016910057843001834,0.004045692549464673
0.00016912039264106209,0.003996045385857183
0.00016914154665748443,0.003943265778007727
0.00016916332223334212,0.0038890392414844227
0.00016918417657818267,0.0038376582404103135
0.00016920394741169493,0.003789555849544024
0.0001692251183425098,0.0037382650465711056
0.00016924690649240353,0.0036855898962325643
0.0001692677865440163,0.0036356733110598383
0.00016928750520033353,0.0035891373197300394
0.0001693086964692147,0.003539337315435886
0.000169330495677758,0.0034882270261950873
0.00016935139768007888,0.0034397949042968747
0.00016937104552385793,0.0033948669218364933
0.00016939226137100986,0.003346558359999223
0.0001694140702168882,0.0032970253342021606
0.00016943499023379437,0.003250096391021264
0.00016945455432549656,0.003206800693198028
0.00016947579078860565,0.003160002996822479
0.00016949760757888662,0.0031120592964163263
0.00016951854331560316,0.0030666468149197013
0.0001695380199626952,0.0030249844344397534
0.00016955927305614687,0.002979715977258979
0.00016958109603857626,0.002933372924930187
0.00016960204859690518,0.0028894819663089822
0.00016962144105054727,0.0028494384228658453
0.00016964271007289112,0.0028057097286877867
0.00016966453791182831,0.002760977138128051
0.00016968550613952427,0.002718617366071963
0.00016970482097487395,0.002680172069676341
