time,phonons
0.0,"[1.0, 0.0, 0.0, 0.0]"
2.1613718619512172e-08,"[0.9999996005591241, 3.994400996924047e-07, 2.1810754577101308e-13, 1.2152202168162434e-19]"
4.3227437239024344e-08,"[0.9999987784003899, 1.2215966361808364e-06, 1.858031562851206e-12, 2.9801829322330807e-18]"
6.528827901180842e-08,"[0.9999978409618318, 2.1590322145149547e-06, 4.157745014057812e-12, 7.76264091284416e-18]"
8.736220779568191e-08,"[0.9999963595849239, 3.640402581080848e-06, 1.0014548054507284e-11, 1.8871985519007307e-17]"
1.0986059100257132e-07,"[0.9999940176603551, 5.982306075183127e-06, 3.026718281808322e-11, 1.2657871329291524e-16]"
1.322940675006735e-07,"[0.999991363784999, 8.63614856143997e-06, 6.23370063027988e-11, 3.718257691123833e-16]"
1.5450169030397064e-07,"[0.9999885778074694, 1.1422088078498894e-05, 9.962398956936528e-11, 6.134805489873728e-16]"
1.7717789078918345e-07,"[0.9999850085654, 1.4991258357467304e-05, 1.7052603423378073e-10, 1.3314663726894499e-15]"
1.9968154981354172e-07,"[0.9999807237192713, 1.927598117379765e-05, 2.930122631060705e-10, 3.3157898325050935e-15]"
2.224671857597012e-07,"[0.9999762062036437, 2.3793349978635804e-05, 4.389021599219067e-10, 5.853235431977155e-15]"
2.4474720287489443e-07,"[0.9999714854384679, 2.8513942733057278e-05, 6.105723168161621e-10, 8.777513739781897e-15]"
2.674433461515197e-07,"[0.9999658346425389, 3.416446175731321e-05, 8.865745850601536e-10, 1.5822302001000084e-14]"
2.901805438487549e-07,"[0.9999596003722857, 4.039836021090766e-05, 1.257451464316051e-09, 2.781686245490718e-14]"
3.127563978611331e-07,"[0.9999533019340886, 4.669640132014409e-05, 1.6536761371741924e-09, 4.021719285265388e-14]"
3.351297533832028e-07,"[0.9999465598764968, 5.343796956278136e-05, 2.142229405162514e-09, 5.735885062174163e-14]"
3.5785581238098695e-07,"[0.9999388508485845, 6.114630078373174e-05, 2.8379812974789133e-09, 9.04324817377095e-14]"
3.8054082356570023e-07,"[0.9999307891745377, 6.920716503889167e-05, 3.646839061229714e-09, 1.3298729314028072e-13]"
4.0315068557236526e-07,"[0.9999226059565439, 7.738952288619932e-05, 4.506079020455412e-09, 1.7652729881860482e-13]"
4.259048154908863e-07,"[0.9999136605651917, 8.633381874972019e-05, 5.600583237961649e-09, 2.434416113517429e-13]"
4.4839920579141575e-07,"[0.9999040582628872, 9.593474653029013e-05, 6.974182668007791e-09, 3.466898128034006e-13]"
4.711733830483756e-07,"[0.9998941445990763, 0.00010584691321141986, 8.47027275521032e-09, 4.611828377921051e-13]"
4.937083256134487e-07,"[0.9998840453304265, 0.00011594456346149572, 1.0087711511036177e-08, 5.862201456494389e-13]"
5.164927963099898e-07,"[0.9998729918557626, 0.00012699598718511618, 1.2137528469790316e-08, 7.800141078649464e-13]"
5.392656393228473e-07,"[0.9998613557537891, 0.00013862969437548764, 1.453113033407377e-08, 1.0359896022304841e-12]"
5.619616800181082e-07,"[0.9998496489393065, 0.00015033402528188532, 1.7013551382560546e-08, 1.296030758947951e-12]"
5.844612262852633e-07,"[0.9998375483217143, 0.00016243186222246795, 1.979306627396527e-08, 1.6090578993156807e-12]"
6.072474555780473e-07,"[0.9998244282305518, 0.00017554853102737507, 2.321403448195054e-08, 2.0684363081256475e-12]"
6.299914706963806e-07,"[0.9998109615152913, 0.00018901150962737212, 2.6949251124138087e-08, 2.598358810736318e-12]"
6.527124806328731e-07,"[0.9997973604421233, 0.00020260869914505878, 3.083145566966013e-08, 3.1389428143499777e-12]"
