time,n_phonons
0.0,0.0
2.2472540623334002e-08,2.472830642050039e-07
4.4945081246668004e-08,5.017979134061095e-07
6.834254179319405e-08,3.9375830962114377e-07
9.200121800921679e-08,5.562721125992377e-07
1.1600723018788143e-07,1.1633251957105522e-06
1.4008213877000988e-07,1.4662582282733548e-06
1.631873283539827e-07,1.6280055826798045e-06
1.8707395770345737e-07,2.3214033469896585e-06
2.109344211545934e-07,3.090565620606813e-06
2.344636599614773e-07,3.462272930444543e-06
2.5811358322054403e-07,4.095778783816975e-06
2.821271304652342e-07,5.18874857383381e-06
3.06198437521947e-07,5.9862712424645716e-06
3.293551455572912e-07,6.614129377472073e-06
3.5328516870516483e-07,7.78809967362719e-06
3.7718716016526934e-07,9.046309168410589e-06
4.0077024161331404e-07,9.898394809244638e-06
4.244342288383648e-07,1.1008318891516426e-05
4.484516841110039e-07,1.2587642472965039e-05
4.725226178997005e-07,1.387553006030593e-05
4.957258482208352e-07,1.4973623214718405e-05
5.196908210115591e-07,1.6633216540508887e-05
5.436221143821027e-07,1.8378194316346928e-05
5.672460533966963e-07,1.9710429136727797e-05
5.909366851554041e-07,2.13021689328768e-05
6.149557027695457e-07,2.336806471577395e-05
6.390290990224212e-07,2.514257017154149e-05
6.622692852102303e-07,2.671381675104337e-05
6.862617783475059e-07,2.8862930425570132e-05
7.102110810303122e-07,3.109202176876071e-05
7.338632792598051e-07,3.290346382957137e-05
7.575886977458643e-07,3.498190594172487e-05
7.81605136759497e-07,3.753395790344098e-05
8.056814563356767e-07,3.979182091899058e-05
8.289502023822758e-07,4.183813003346224e-05
8.529649732265453e-07,4.447952567531665e-05
8.769237162363821e-07,4.718994566352179e-05
9.005939761966225e-07,4.9479273346329944e-05
9.243595445708626e-07,5.204865289497106e-05
9.483666757454029e-07,5.508548357144837e-05
9.724448020150675e-07,5.7823827717667944e-05
9.957362515481126e-07,6.034643399069807e-05
1.019770299254814e-06,6.348194147711754e-05
1.0437324740280587e-06,6.667090696457904e-05
1.067413118414447e-06,6.943664302632676e-05
1.0912217982998201e-06,7.250044283874216e-05
1.115210174063951e-06,7.601947794046713e-05
1.139299203074618e-06,7.923710493569425e-05
1.1626102527490573e-06,8.223700206150389e-05
1.1866622377674956e-06,8.586791208895036e-05
1.2106234486232109e-06,8.95324955841959e-05
1.2343083583136815e-06,9.277299513074093e-05
1.2581646722500111e-06,9.633469938598331e-05
1.2821216387211237e-06,0.00010033192342541166
1.3062210359167038e-06,0.00010402694575940167
1.3295499169063504e-06,0.00010750482375509444
1.3536093980009172e-06,0.00011162999190899743
1.3775666230796396e-06,0.00011576748032179962
1.4012513265219778e-06,0.00011948115245292014
1.4251523759207234e-06,0.00012354230902028406
1.4490630759395938e-06,0.000128012193078638
1.4731703740186487e-06,0.00013218298420894438
1.4965163007352822e-06,0.0001361389880226727
1.520578376040939e-06,0.0001407567227252293
1.5445305087257947e-06,0.00014536491432470296
1.5682119321740934e-06,0.00014955024837433423
1.5921518212328536e-06,0.00015411069067250354
1.6160012879090283e-06,0.00015904656213938084
1.6401121108245473e-06,0.00016369148845518422
1.6634745258676847e-06,0.00016812511289753635
1.6875383471420652e-06,0.0001732334573615316
1.7114858139816825e-06,0.00017831075559484504
1.7351620596279047e-06,0.00018296628957974593
1.759133060613844e-06,0.00018802418500512487
1.7829085859680801e-06,0.00019341886531085056
1.8070182137247215e-06,0.00019853631862551424
1.8303963683574435e-06,0.0002034463528337807
1.8544618743480098e-06,0.00020904283674559325
1.8784060363057748e-06,0.00021458823176470214
1.9020763361572964e-06,0.00021971253831531545
1.926070174409705e-06,0.00022526461897387116
1.949763729762107e-06,0.0002311112840436252
1.9738683365740492e-06,0.0002366997837911694
1.9972611087660887e-06,0.0002420843167650871
2.021328675017445e-06,0.00024816612787077335
2.045271243715719e-06,0.00025417903698197076
2.068935867339188e-06,0.0002597707043455061
2.0929449375528844e-06,0.0002658127185276919
2.1166318830169325e-06,0.00027212592220408633
2.1407318397980254e-06,0.0002781834622167769
2.16413946171614e-06,0.0002840418139732631
2.1882085262686847e-06,0.00029060701861811645
2.212149586666156e-06,0.00029708519137732267
2.235806546608864e-06,0.00030314189504744967
2.259826740253112e-06,0.00030967164986011393
2.2835701319073445e-06,0.0003164666359962398
2.3076645236260807e-06,0.0003229897912005391
2.3310887714969945e-06,0.0003293225864898446
2.3551580165686705e-06,0.0003363697270231065
2.3790972117568866e-06,0.0003433096070342862
2.4027424088135052e-06,0.00034982816736911016
2.426770339976894e-06,0.00035684465634796257
2.45056634119774e-06,0.00036411982985529287
2.474649923024867e-06,0.00037110404131549804
2.498092806742551e-06,0.0003779117429586082
2.5221611410763784e-06,0.00038543880106656426
2.546099425346753e-06,0.0003928373031332779
2.569729315969392e-06,0.0003998144766568854
2.5937595782445475e-06,0.00040731529275053274
2.6176023690329616e-06,0.00041506797447161216
2.641668972867612e-06,0.00042250833764982004
2.66513263221633e-06,0.00042979114403044513
2.689199243863649e-06,0.00043779556918135265
2.713138560327446e-06,0.0004456501532626768
2.736750398473827e-06,0.00045308271748852795
2.7607760687150575e-06,0.00046106399356414903
2.7846808216619075e-06,0.00046929810423354117
2.808724353168798e-06,0.0004771892773302046
2.8322116456378878e-06,0.00048494771168896883
2.8562756705319567e-06,0.0004934266773379188
2.880219079508917e-06,0.0005017350727739667
2.90381080615843e-06,0.000509619848704281
2.927823169267323e-06,0.000518076593334738
2.9517846151759944e-06,0.0005267893598244615
2.97580500406378e-06,0.0005351279177342544
2.999318753153488e-06,0.0005433623351521414
3.023379823925218e-06,0.0005523127408288838
3.04733077686322e-06,0.000561073048041753
3.070901265230521e-06,0.0005694070184952746
3.0949178608499474e-06,0.0005783433652209831
3.1189312841636738e-06,0.0005875315454516815
3.1429283837453676e-06,0.0005963137242477968
3.1664729693393762e-06,0.0006050254830661879
3.1905312714815436e-06,0.0006144443900079395
3.214493516580024e-06,0.0006236544986983892
3.2380421059693935e-06,0.0006324348060559074
3.262069756725397e-06,0.0006418518874250462
3.2861292424104905e-06,0.0006515111224677797
3.31010014279918e-06,0.0006607319774675289
3.333680788424116e-06,0.0006699230574086977
3.357736332392936e-06,0.0006798072098906929
3.3817139128103753e-06,0.000689465078971216
3.4052417894079246e-06,0.00069868963385576
3.4292758539905736e-06,0.0007085840944232829
3.453372757075887e-06,0.000718708282291225
3.4773157497655026e-06,0.0007283632822011604
3.500938054180903e-06,0.0007380359278997906
3.5249899037277343e-06,0.0007483812680417082
3.548986103415952e-06,0.0007584847549383798
3.5724973846192094e-06,0.0007681527894394144
3.5965512327683585e-06,0.0007785286073012989
3.6206757399900956e-06,0.0007891101916896051
3.644589779616236e-06,0.0007991948683496603
3.6682603822767936e-06,0.0008093523248078781
3.6923047607634936e-06,0.0008201532212176478
3.716321314416526e-06,0.0008306993536202587
3.7398140874041712e-06,0.0008408078498768067
3.763894923241417e-06,0.0008516667392899543
3.7880348492087365e-06,0.0008626962353718654
3.8119201527719656e-06,0.0008732067533262088
3.835645269470834e-06,0.0008838522914621609
3.859673038896772e-06,0.0008950999461706812
3.883707978844385e-06,0.0009060842829526021
3.907193287453071e-06,0.0009166360250916978
3.931297867158907e-06,0.000927974773352443
3.955439536002468e-06,0.0009394411494462381
3.979297361761518e-06,0.0009503743735117323
4.003081176122886e-06,0.0009615102683131941
4.027074923695658e-06,0.0009731908873538943
4.051120486939935e-06,0.0009846065389271838
4.074612683668587e-06,0.0009956062972301188
4.0987372932964885e-06,0.0010074204086171613
4.122867726588961e-06,0.0010193123178598245
4.146699795132588e-06,0.0010306656611378064
4.170542304728204e-06,0.0010422916055841504
4.194474996714615e-06,0.0010543851865873887
4.218528525890712e-06,0.0010662279775594944
4.242012058750752e-06,0.0010776660496716226
4.2661511137341945e-06,0.0010899482997486932
4.290261322102614e-06,0.0011022565353598294
4.3140698008906726e-06,0.0011140280667209833
4.3379713701009705e-06,0.0011261422613266727
4.361811970645495e-06,0.001138625025919014
4.385890615076958e-06,0.0011509016801335929
4.40936960905878e-06,0.0011627768150187054
4.433518072294638e-06,0.0011755193854061851
4.457603143137871e-06,0.001188236772943391
4.48138909311207e-06,0.0012004239446254522
4.505335171061167e-06,0.0012130158191730497
4.529051039581842e-06,0.0012258616027633576
4.553140096689736e-06,0.0012385637113789137
4.576620171236195e-06,0.0012508743186705462
4.600773446196085e-06,0.0012640681323698338
4.624834839538937e-06,0.0012771918454235712
4.648600189236993e-06,0.0012897924826932492
4.672572527286778e-06,0.00130284687624604
4.696145496057517e-06,0.0013160362004411646
4.720235004712215e-06,0.0013291577266600373
4.74372020532971e-06,0.0013419004566491552
4.767875283706402e-06,0.001355536505785501
4.791918946293687e-06,0.0013690671673055623
4.8156670485982e-06,0.0013820795415502164
4.839651090617753e-06,0.0013955812851106618
4.8632263431114575e-06,0.001409187726007373
4.8873156111326765e-06,0.0014227246753251983
4.910808794669122e-06,0.0014358975251710117
4.934963377128724e-06,0.0014499695188170513
4.958991214002834e-06,0.001463903346448731
4.982721201751173e-06,0.0014773228048083676
5.006708347082272e-06,0.0014912625780845142
5.030357382764387e-06,0.001505323589419557
5.054442272023495e-06,0.001519268758884237
5.077946913507941e-06,0.0015328711143805735
5.102097989539311e-06,0.0015473730003424523
5.126111063580466e-06,0.001561704620284114
5.149819761587768e-06,0.0015755249550107537
5.17380122683116e-06,0.0015898941092626197
5.1975023440794346e-06,0.0016043939145762155
5.221574493114202e-06,0.001618737965100738
5.245094512398114e-06,0.0016327688733688815
5.269239152541271e-06,0.001647693638303921
5.2932410086422145e-06,0.0016624198433241937
5.316927016183934e-06,0.0016766357353147669
5.3408929750263855e-06,0.001691423439887131
5.364620874041611e-06,0.0017063429000145286
5.38867286408026e-06,0.0017210771896843547
5.412211649106416e-06,0.0017355346710523781
5.436347862946663e-06,0.001750875060401786
5.460343295415368e-06,0.0017659942524293588
5.484007419853016e-06,0.0017806015116892465
5.507948799001825e-06,0.0017957958847586832
5.531679579364644e-06,0.0018111156191966266
5.555708977884423e-06,0.0018262345908488656
5.5792684346635255e-06,0.0018411150999800734
5.6033957784913165e-06,0.0018568643678615352
5.627389295598615e-06,0.001872375491169452
5.651034249326492e-06,0.0018873708949316832
5.674974709476115e-06,0.0019029805286124172
5.6986915700089945e-06,0.001918684568996938
5.722703042237491e-06,0.0019341866955007476
5.7462836228247895e-06,0.0019494859631823732
5.7704020049924345e-06,0.0019656378225988954
5.794396844134686e-06,0.001981538779501588
5.81802516613477e-06,0.001996918927158298
5.841968193335978e-06,0.0020129402209869414
5.865729076004237e-06,0.002029061938225422
5.889724763648541e-06,0.0020449430926021608
5.9133293677772265e-06,0.0020606597453154307
5.937437326022838e-06,0.00207720767618083
5.96143603601236e-06,0.0020934945902485805
5.985047478227362e-06,0.00210925445452161
6.0089877883096834e-06,0.0021256793225747526
6.032815944385012e-06,0.0021422304198402005
6.0567956704667075e-06,0.0021584846600784047
6.080428256929986e-06,0.002174618543766885
6.10452362575899e-06,0.002191555450365369
6.128528884817763e-06,0.0022082241127561473
6.152124315430266e-06,0.002224359520064268
6.17605539456426e-06,0.0022411790831839695
6.1999509099137745e-06,0.0022581556409927857
6.223913707509151e-06,0.0022747765007264872
6.24757841300788e-06,0.002291327650621456
6.271658318946947e-06,0.0023086455182397543
6.2956725500177465e-06,0.002325691612763441
6.319254736939409e-06,0.0023421997947334493
6.3431672820334055e-06,0.0023594025828118236
6.367126889694124e-06,0.002376798044718745
6.39107243994178e-06,0.0023937795776182436
6.41477308879661e-06,0.0024107477600089256
6.438833098692403e-06,0.0024284369521887107
6.462857627335691e-06,0.0024458555637817524
6.4864255159814755e-06,0.0024627310870199573
6.510305826481051e-06,0.0024803013916037584
6.534321649462833e-06,0.0024981056311506925
6.558250566788017e-06,0.002515442804627355
6.581989442700267e-06,0.002532826219538799
6.606022816516864e-06,0.0025508747656798705
6.630056572421709e-06,0.0025686597092975895
6.6536184861500685e-06,0.0025859037837526184
6.677479610068925e-06,0.0026038449994821027
6.701543196446919e-06,0.002622046791096082
6.725456034879043e-06,0.0026397344551154353
6.749234821578261e-06,0.0026575309716992536
6.773230175287987e-06,0.0026759228878722105
6.797270159949116e-06,0.0026940663697971484
6.820834944221409e-06,0.002711680928391648
6.844762709114063e-06,0.0027300533705701723
6.86886898465432e-06,0.002748642421848348
6.892764420351362e-06,0.002766673417561336
6.916587054399598e-06,0.0027848843236341174
6.940520656249922e-06,0.002803593498584975
6.964560536150325e-06,0.0028220837358663006
6.988136121560254e-06,0.002840071048994192
7.012128575845892e-06,0.0028588704680511173
7.036263997179768e-06,0.002877829694525915
7.060140793950269e-06,0.002896197411039105
7.084009647123207e-06,0.002914821999881832
7.107846278318947e-06,0.002933811603537979
7.131905724202692e-06,0.0029526576102685315
7.155500032426073e-06,0.0029710201623709357
7.179550338464842e-06,0.0029902374234275393
7.203697482093943e-06,0.0030095462406977205
7.227553636799958e-06,0.0030282437826735157
7.251465538220764e-06,0.0030472760376251693
7.275157584607381e-06,0.0030664974013812365
7.299235248133511e-06,0.00308569336523547
7.322850286636706e-06,0.0031044283177726452
7.3469451361699285e-06,0.0031240469384491076
7.371087364101337e-06,0.003143685902381862
7.394920222908772e-06,0.0031627061648751764
7.4188564615794745e-06,0.003182124918011541
7.44236023104774e-06,0.0032015306747892533
7.466441577995023e-06,0.003221061754773401
7.490056006569426e-06,0.0032401454262772347
7.514177655409808e-06,0.0032601423744173627
7.53830739457654e-06,0.003280101198406715
7.562118914111876e-06,0.003299440762953819
7.586061662830299e-06,0.003319221620948366
7.609474920787247e-06,0.0033388814231215024
7.633554742426218e-06,0.0033587392064273656
7.65717111356829e-06,0.0033781668268929605
7.681308827604685e-06,0.0033985253475482097
7.705424462070743e-06,0.0034187975250910842
7.729216147932367e-06,0.0034384518991980202
7.753154785373046e-06,0.0034585772546154477
7.776670007288675e-06,0.0034786453858599007
7.800749831028475e-06,0.003498823782059794
7.82436966201192e-06,0.0035185923221106767
7.848519095464511e-06,0.003539303314869703
7.872617163261087e-06,0.0035598774737926535
7.896384821251013e-06,0.0035798369246780467
7.920308990938517e-06,0.003600292889167409
7.943896232079849e-06,0.003620739035225925
7.967970057917643e-06,0.003641226533690603
7.991595944629823e-06,0.0036613330406611243
8.015749367100958e-06,0.0036823831350892224
8.039829857512523e-06,0.0037032516944396866
8.063571753694175e-06,0.0037235085460849988
8.08746982871348e-06,0.003744278269497023
8.111089150996092e-06,0.0037650622208953524
8.135150977387868e-06,0.003785848076967098
8.15878616372701e-06,0.003806289029946394
8.182935724376198e-06,0.0038276634558796125
8.207002034064375e-06,0.003848822962167963
8.23071963171482e-06,0.003869372120775045
8.254581753723639e-06,0.0038904384096793143
8.278194422825854e-06,0.003911519790889393
8.302237435657767e-06,0.003932593001876988
8.325884433814221e-06,0.003953363110007141
8.350025271458316e-06,0.003975048878368439
8.374082222312617e-06,0.003996498281500642
8.397778018501537e-06,0.00401733526439571
8.421641936022601e-06,0.004038722487984021
8.445222841665664e-06,0.004060071810235756
8.469252623005058e-06,0.004081431681291107
8.492913389834664e-06,0.00410252539565953
8.517042975854725e-06,0.0041245118625340355
8.541094023503733e-06,0.004146248586191678
8.564771996782518e-06,0.0041673700803649336
8.588632619834e-06,0.004189065225057291
8.612159442806504e-06,0.004210654857467926
8.636176311256129e-06,0.004232296190156407
8.659851270466704e-06,0.004253706015052852
8.683968971387153e-06,0.004275984090519179
8.708016782666584e-06,0.004298005319973733
8.731681677134336e-06,0.004319408521328801
8.75553401814029e-06,0.004341397996931094
8.778993622557335e-06,0.004363208272786733
8.802999358415586e-06,0.004385127134519254
8.826687659636944e-06,0.004406844011732636
8.850794209064832e-06,0.004429405900493019
8.874840456929768e-06,0.0044517081285420385
8.898496830926498e-06,0.004473389926823476
8.922338439911555e-06,0.0044956621196062755
8.945727912297415e-06,0.004517682651957984
8.969725080998273e-06,0.004539875658632499
8.993425093082329e-06,0.004561889645086766
9.017521969813441e-06,0.004584728414788626
9.041567522627231e-06,0.004607307312543837
9.065219116905363e-06,0.004629263774759424
9.08904961008452e-06,0.004651808989385784
9.112374528901174e-06,0.004674037375601709
9.136365886864457e-06,0.004696501081130423
9.160075777032348e-06,0.004718802082605978
9.184164674272715e-06,0.004741911215853809
9.208209899820948e-06,0.004764761691003373
9.231859463873668e-06,0.004786987953551792
9.255679799050134e-06,0.004809797998075147
9.278950772706657e-06,0.004832236764048609
9.302938844269708e-06,0.004854967240012931
9.32665699123025e-06,0.004877545525718336
9.350739435484568e-06,0.004900918543166467
9.374784441584462e-06,0.004924034849299769
9.398433847838477e-06,0.004946525254045149
9.422245571839511e-06,0.004969592852321381
9.445474615939557e-06,0.004992246079699766
9.46946146499737e-06,0.005015238704819653
9.493186636938987e-06,0.005038085120950788
9.517263784055341e-06,0.005061715334848596
9.54130872233802e-06,0.005085091343513686
9.564959186238847e-06,0.005107839648172785
9.588763875943592e-06,0.005131157913444575
9.611961852270124e-06,0.005154028751272872
9.635949018551093e-06,0.0051772781726985035
9.65968037877741e-06,0.00520038413208164
9.683752961582211e-06,0.005224264534775855
9.707797772581842e-06,0.005247893535724933
9.731450047447535e-06,0.005270893079973662
9.755249039014815e-06,0.005294455181967985
9.778424607574317e-06,0.005317544759055458
9.802413166272942e-06,0.005341044981956716
9.826150190165157e-06,0.005364402331917652
9.850218569176762e-06,0.005388525588195174
9.874263108452122e-06,0.005412400478197254
9.897917648354356e-06,0.00543564431385703
9.921711969748943e-06,0.005459443322021921
9.944871517811821e-06,0.005482750600499844
9.968862181138168e-06,0.005506495116225275
9.992604560268368e-06,0.005530095990396406
1.001666880575079e-05,0.00555445447467318
1.0040712863211109e-05,0.0055785678426566055
1.006436993233901e-05,0.005602048815168606
1.0088160340385953e-05,0.005626077651518966
1.0111308383735786e-05,0.005649599761049495
1.013530160438867e-05,0.00567358167304044
1.0159049166090408e-05,0.005697418365920247
1.0183109137869837e-05,0.005722004211086931
1.0207152450407591e-05,0.0057463484046203295
1.0230812195027633e-05,0.005770059204580974
1.0254599243754624e-05,0.005794310646858887
1.027773893463131e-05,0.005818043347812415
1.0301734990881376e-05,0.005842255474592157
1.0325487640696537e-05,0.005866320350177371
1.034954305103832e-05,0.005891125490976265
1.0373585311601174e-05,0.005915692665178194
1.0397247806284414e-05,0.005939625861296736
1.0421031910977813e-05,0.005964092561957139
1.0444165482671694e-05,0.005988030665471115
1.0468164540535158e-05,0.0060124656166380104
1.0491922224583324e-05,0.0060367510475361754
1.0515972682386582e-05,0.006061767253479461
1.0540013546281056e-05,0.006086549405256961
1.0563678823128361e-05,0.006110697465894426
1.058746030928186e-05,0.0061353719721307445
1.0610589410258395e-05,0.0061595096634623845
1.0634591565837289e-05,0.006184159892541903
1.0658354247795344e-05,0.006208658222010234
1.068239928718095e-05,0.006233877120118027
1.0706438376187495e-05,0.006258866111421014
1.0730106443104899e-05,0.006283221419079241
1.0753885579876412e-05,0.006308096188756804
1.0777011505136813e-05,0.006332427255827806
1.0801016812247595e-05,0.006357285095933274
