time,phonons
8.529649732265453e-07,"[0.9999555205103178, 4.447934058076769e-05, 9.253243267451504e-11, 9.894537237943542e-15]"
8.769237162363821e-07,"[0.9999528101317796, 4.718967421418397e-05, 1.357072760351867e-10, 1.159525146751218e-14]"
9.005939761966225e-07,"[0.9999505207579683, 4.947909107912425e-05, 9.111398015315984e-11, 1.308179531562198e-14]"
9.243595445708626e-07,"[0.9999479513642975, 5.204849567480923e-05, 7.858936826749842e-11, 1.3808430687122701e-14]"
9.483666757454029e-07,"[0.9999449146023092, 5.5085185452953685e-05, 1.490361524623355e-10, 1.539658695697371e-14]"
9.724448020150675e-07,"[0.999942176250245, 5.7823541811789456e-05, 1.4292625432742907e-10, 1.77899433438576e-14]"
9.957362515481126e-07,"[0.9999396535841251, 6.034626514591729e-05, 8.439377085526069e-11, 1.907968967919896e-14]"
1.019770299254814e-06,"[0.9999365181243468, 6.348167365504926e-05, 1.338806001431293e-10, 2.0289329852352462e-14]"
1.0437324740280587e-06,"[0.9999333292149549, 6.667052349253195e-05, 1.917012816881627e-10, 2.316123880819081e-14]"
1.067413118414447e-06,"[0.999930563411841, 6.943639057214802e-05, 1.261886093623373e-10, 2.5653339601823138e-14]"
1.0912217982998201e-06,"[0.999927499594956, 7.250022127722808e-05, 1.1074047210184425e-10, 2.685662115412516e-14]"
1.115210174063951e-06,"[0.9999239806546197, 7.601906335233518e-05, 2.0724989007855125e-10, 2.9450595036784726e-14]"
1.139299203074618e-06,"[0.9999207630125486, 7.923671686190684e-05, 1.9398692728253386e-10, 3.331094440037543e-14]"
1.1626102527490573e-06,"[0.9999177630345015, 8.223677317714159e-05, 1.1438913115835012e-10, 3.536665912106714e-14]"
1.1866622377674956e-06,"[0.9999141321920298, 8.586754450722393e-05, 1.8373492417162144e-10, 3.729269250465233e-14]"
1.2106234486232109e-06,"[0.9999104676801347, 8.953198134643809e-05, 2.570561984362134e-10, 4.1786978691006685e-14]"
1.2343083583136815e-06,"[0.9999072270881137, 9.277266275101474e-05, 1.6612140105119477e-10, 4.564136043104001e-14]"
1.2581646722500111e-06,"[0.9999036653651682, 9.633440107138052e-05, 1.490860643787559e-10, 4.749134263245739e-14]"
1.2821216387211237e-06,"[0.9998996682658616, 0.00010033137219577596, 2.755376245585283e-10, 5.14621937397039e-14]"
1.3062210359167038e-06,"[0.9998959732180007, 0.00010402644193249396, 2.518275263975273e-10, 5.72849756460795e-14]"
1.3295499169063504e-06,"[0.9998924952356223, 0.00010750452602166761, 1.4877619899518768e-10, 6.034294882209811e-14]"
1.3536093980009172e-06,"[0.9998883701593508, 0.00011162950681459326, 2.424523466600709e-10, 6.323694976767152e-14]"
1.3775666230796396e-06,"[0.9998842327583238, 0.00011576681700809837, 3.315520280821948e-10, 6.988169315121785e-14]"
1.4012513265219778e-06,"[0.9998805189637094, 0.00011948073101690932, 2.1060475875255504e-10, 7.549777397835162e-14]"
1.4251523759207234e-06,"[0.9998764577887733, 0.00012354192094752203, 1.9391909801167645e-10, 7.818866475045897e-14]"
1.4490630759395938e-06,"[0.9998719880630468, 0.00012801148495720092, 3.539347637101071e-10, 8.396988466699898e-14]"
1.4731703740186487e-06,"[0.9998678172322994, 0.00013218235166209203, 3.161349505398776e-10, 9.231709416256376e-14]"
1.4965163007352822e-06,"[0.9998638610986006, 0.00013613861255631557, 1.8758822199881994e-10, 9.663771774636848e-14]"
1.520578376040939e-06,"[0.9998592434847614, 0.0001407561019337676, 3.102445398738358e-10, 1.0079398811242661e-13]"
