time,phonons
0.0,"[1.0, 0.0, 0.0, 0.0]"
2.3386326977928317e-08,"[0.999999705851741, 2.941473779560355e-07, 1.202184001893547e-13, 5.1117025503906077e-20]"
4.6772653955856633e-08,"[0.9999991279026341, 8.720949070854172e-07, 9.37505539292621e-13, 1.0803284130327039e-18]"
7.257725978393115e-08,"[0.9999983629019441, 1.6370923094937862e-06, 2.270110765127663e-12, 2.7483477318469856e-18]"
9.857173886700468e-08,"[0.9999969765677075, 3.0234189522216523e-06, 7.767656461846522e-12, 1.6473130667750976e-17]"
1.245133716880521e-07,"[0.9999950642370123, 4.9357334475828306e-06, 2.1911535541391403e-11, 8.705539223193169e-17]"
1.506732880849668e-07,"[0.9999930180981434, 6.981851886858778e-06, 4.011458293729417e-11, 1.8390386605129665e-16]"
1.765627231224998e-07,"[0.999990475550284, 9.524364597161384e-06, 7.324656023176762e-11, 4.302355815667156e-16]"
2.0245644144442483e-07,"[0.9999873118653029, 1.2687985893187276e-05, 1.3491102191020317e-10, 1.168704110312163e-15]"
2.2851372283627285e-07,"[0.9999839862353184, 1.6013539299076e-05, 2.0934319312923896e-10, 2.13999927133274e-15]"
2.5438749399493925e-07,"[0.9999802842920881, 1.9715378586649467e-05, 3.112792382593594e-10, 3.696806205023951e-15]"
2.806025397148596e-07,"[0.9999758391501371, 2.4160352146913083e-05, 4.773939410741657e-10, 7.376969422594858e-15]"
3.065656093424081e-07,"[0.9999712271632963, 2.8772141687475265e-05, 6.726174057267328e-10, 1.2167428560703341e-14]"
3.3255428656757844e-07,"[0.9999663194412352, 3.367962677411202e-05, 9.074939108020973e-10, 1.8354883836214414e-14]"
3.5880625030445146e-07,"[0.9999606459485695, 3.9352771825970735e-05, 1.2527919155889653e-09, 3.057005340292525e-14]"
3.849249678151904e-07,"[0.999954695432119, 4.5302877124992715e-05, 1.6617330816820632e-09, 4.6826305226551667e-14]"
4.110684383914135e-07,"[0.9999485338926608, 5.146395616349764e-05, 2.119920133660834e-09, 6.559776334308804e-14]"
4.370109735430717e-07,"[0.99994173560711, 5.826162884135625e-05, 2.730705109882886e-09, 9.705885827384484e-14]"
4.6315646098740515e-07,"[0.9999344725310725, 6.552396620655537e-05, 3.4671183703926063e-09, 1.4018799935943693e-13]"
4.893653284179209e-07,"[0.9999270482465001, 7.294745305385694e-05, 4.262528717038095e-09, 1.8735505370848403e-13]"
5.151336973281504e-07,"[0.999919130442636, 8.086427270099594e-05, 5.244747022204545e-09, 2.564495716824856e-13]"
5.408532362071372e-07,"[0.9999107163210444, 8.927721434713274e-05, 6.422703429660352e-09, 3.5155303978601236e-13]"
5.669449270604068e-07,"[0.999902065491619, 9.792677598632275e-05, 7.68821345086781e-09, 4.547457840184233e-13]"
5.928381657769953e-07,"[0.9998929611031256, 0.0001070296772866692, 9.173250310815154e-09, 5.908176406670736e-13]"
6.184218297463063e-07,"[0.9998833564315095, 0.00011663257921053873, 1.094095372401268e-08, 7.779238392066434e-13]"
6.441600934587767e-07,"[0.9998735564536083, 0.0001264306717300361, 1.2824223995794319e-08, 9.81225154074585e-13]"
6.701275345498575e-07,"[0.9998632789688595, 0.0001367060232691044, 1.4955111175799967e-08, 1.227672987809517e-12]"
6.96187890691223e-07,"[0.9998522724796537, 0.00014770994461803924, 1.752047661928193e-08, 1.5701467454479078e-12]"
7.219013710658921e-07,"[0.9998411988966033, 0.00015878081350914164, 2.023237000328633e-08, 1.9455639849889397e-12]"
7.478967511234109e-07,"[0.9998297300808078, 0.0001702466670978142, 2.3192053753595867e-08, 2.370278635469869e-12]"
7.738842380966704e-07,"[0.9998175607684409, 0.00018241248288892661, 2.668596589655069e-08, 2.942026995942027e-12]"
7.998488816647484e-07,"[0.9998050806326116, 0.0001948888211746251, 3.048077895825428e-08, 3.597243337921773e-12]"
8.259486940505878e-07,"[0.9997923508700823, 0.00020761456396625557, 3.4497632620525264e-08, 4.302018424366803e-12]"
8.513858848004177e-07,"[0.9997792931511151, 0.00022066776298382932, 3.901498984185017e-08, 5.187948222082306e-12]"
8.772115184648752e-07,"[0.9997655995872616, 0.00023435626994226607, 4.4068851005573806e-08, 6.250314889098281e-12]"
9.032762362365959e-07,"[0.9997516554046156, 0.0002482951577615652, 4.9360406123212956e-08, 7.369590400440734e-12]"
9.288892359036393e-07,"[0.9997373794067005, 0.00026256531162932015, 5.52012840764951e-08, 8.71657277201303e-12]"
9.538200460603697e-07,"[0.9997229488192493, 0.00027698955869479903, 6.153867549882929e-08, 1.0303759695580629e-11]"
9.79580138057522e-07,"[0.9997079249784404, 0.00029200663072668695, 6.830382141611273e-08, 1.2010134736260554e-11]"
1.0054022434218403e-06,"[0.9996924252030596, 0.0003074990238042959, 7.568218662013081e-08, 1.397852170937043e-11]"
1.0311223814420434e-06,"[0.999676329878498, 0.00032358608092215076, 8.39453171316638e-08, 1.639538306395783e-11]"
1.0564252980259031e-06,"[0.9996603218983517, 0.0003395855924105493, 9.240983217577473e-08, 1.8915420746709982e-11]"
1.0823334752587554e-06,"[0.9996436283745681, 0.0003562699350818436, 1.0158609449182706e-07, 2.1732653024195232e-11]"
1.1082159049454992e-06,"[0.9996262528618864, 0.0003736351618350844, 1.1186655216909952e-07, 2.5189028901763715e-11]"
1.1339780639086125e-06,"[0.9996086714032684, 0.0003912058190539817, 1.2266227566921525e-07, 2.8937695086666827e-11]"
1.1599153844775432e-06,"[0.9995907723715, 0.0004090935469990444, 1.339600644392627e-07, 3.291717746228137e-11]"
1.185264930680897e-06,"[0.9995726240248548, 0.0004272296490827634, 1.4619830097279664e-07, 3.7590150470113405e-11]"
1.2109904042610575e-06,"[0.9995537959155761, 0.00044604447679575917, 1.5947265614944354e-07, 4.289994671984592e-11]"
1.236981642321736e-06,"[0.9995346468889211, 0.0004651797161586954, 1.7325231057584284e-07, 4.844030080944375e-11]"
1.262348756719818e-06,"[0.9995153818609651, 0.0004844300788803617, 1.879095938348697e-07, 5.4728348571162814e-11]"
1.2871695917756925e-06,"[0.9994960145625976, 0.0005037818636965851, 2.0341473913721656e-07, 6.178397392784173e-11]"
1.3128224366705238e-06,"[0.9994758901238113, 0.0005238898868568697, 2.1982101462962362e-07, 6.928335833546724e-11]"
1.3385358576718305e-06,"[0.9994552768281557, 0.0005444856481391506, 2.3734513178268768e-07, 7.764616715751701e-11]"
1.364079017616354e-06,"[0.9994341546667462, 0.0005655888007322163, 2.563424618866483e-07, 8.735592782833187e-11]"
1.3892039863521627e-06,"[0.9994132102156965, 0.0005865139856574463, 2.7559710149256133e-07, 9.73224173904038e-11]"
1.4150328282679094e-06,"[0.9993913832721363, 0.0006083202542526694, 2.962591414023593e-07, 1.0827120768090358e-10]"
