time,phonons
0.0,"[1.0, 0.0, 0.0, 0.0]"
2.2656429626122e-08,"[0.9999997426459817, 2.5735302251986993e-07, 9.884055513278636e-14, 3.882604423750276e-20]"
4.5312859252244e-08,"[0.9999994144302422, 5.855673550776713e-07, 6.095041877830755e-13, 6.311868599486516e-19]"
6.91721689874999e-08,"[0.9999993294650136, 6.705310276468668e-07, 6.892224182924061e-13, 1.0213097268468095e-18]"
9.33446724169283e-08,"[0.9999988909625606, 1.1090313965171029e-06, 1.1006117846767602e-12, 1.6992179042595115e-18]"
1.1768178698169182e-07,"[0.999997995119293, 2.0048697190692153e-06, 4.259948914313202e-12, 1.0126049496707206e-17]"
1.1768178698169184e-07,"[0.999997995119293, 2.0048697190692153e-06, 4.259948914313202e-12, 1.0126049496707206e-17]"
1.42182649715746e-07,"[0.9999973218009145, 2.6781841182839947e-06, 6.3347355811475805e-12, 1.9330731029662994e-17]"
1.6581020177496676e-07,"[0.9999966503315227, 3.3496515867325368e-06, 6.914326120366426e-12, 1.786484411265288e-17]"
1.901408631024063e-07,"[0.9999953876275407, 4.612345816946497e-06, 1.4884775391023696e-11, 4.6625682489167966e-17]"
2.143809355297776e-07,"[0.999994077919872, 5.9220413436805714e-06, 2.5308227760465415e-11, 1.0582533917659393e-16]"
2.3831968074789746e-07,"[0.9999930215318695, 6.9784246529314415e-06, 2.8477776481885275e-11, 9.656698524393683e-17]"
2.62719807824105e-07,"[0.9999915151646029, 8.484777666979893e-06, 4.089969602365897e-11, 1.259180842965518e-16]"
2.8698366129352125e-07,"[0.9999896337061506, 1.0366207710596588e-05, 6.757337340844295e-11, 3.175950959584231e-16]"
3.114400411686205e-07,"[0.9999880043181382, 1.1995578140195853e-05, 8.32846752706364e-11, 3.6125649939421243e-16]"
3.352343938563286e-07,"[0.9999863070652248, 1.3692813836928126e-05, 9.906384116552098e-11, 2.9272822042742826e-16]"
3.5960699770098307e-07,"[0.9999840024502972, 1.599738079529083e-05, 1.452217746938661e-10, 6.457972731234867e-16]"
3.596069977009831e-07,"[0.9999840024502972, 1.599738079529083e-05, 1.452217746938661e-10, 6.457972731234867e-16]"
3.839157106435498e-07,"[0.9999817446504128, 1.8255134016921337e-05, 1.9011817785283178e-10, 9.917773584400015e-16]"
4.0783595840896755e-07,"[0.9999797062525395, 2.0293504482831042e-05, 2.1601297549582323e-10, 7.371094196965849e-16]"
4.0783595840896766e-07,"[0.9999797062525395, 2.0293504482831042e-05, 2.1601297549582323e-10, 7.371094196965849e-16]"
4.3230652713120894e-07,"[0.9999771227165061, 2.287697701218828e-05, 2.776351901029296e-10, 1.027987095158405e-15]"
4.32306527131209e-07,"[0.9999771227165061, 2.287697701218828e-05, 2.776351901029296e-10, 1.027987095158405e-15]"
4.5682298101058034e-07,"[0.9999742386824654, 2.5760919083228947e-05, 3.676877209867216e-10, 2.0405642898300156e-15]"
