time,phonons
0.0,"[1.0, 0.0, 0.0, 0.0]"
2.071443598223295e-08,"[0.999999658807167, 3.4119201423035204e-07, 1.7232284476652782e-13, 8.698717070642955e-20]"
4.091237252601433e-08,"[0.9999992174439002, 7.825537763976926e-07, 1.1711066870509528e-12, 1.6180164792803178e-18]"
6.088217460093152e-08,"[0.9999992341014068, 7.658953043726355e-07, 1.6837860942397384e-12, 3.1867912135295616e-18]"
8.07098987712696e-08,"[0.9999992199295908, 7.800671261661008e-07, 1.2555146133069135e-12, 3.997203883451259e-18]"
1.0088582121764543e-07,"[0.9999985645810838, 1.4354138532699511e-06, 2.5350270895227933e-12, 8.045715546158156e-18]"
1.2128598558595809e-07,"[0.9999976761009168, 2.3238890977522525e-06, 6.900183754627878e-12, 2.723551900060049e-17]"
1.4140268147919665e-07,"[0.9999972391649649, 2.7608234071962933e-06, 8.056214857392786e-12, 4.9899347901992894e-17]"
1.6121301815756736e-07,"[0.9999968862636817, 3.113727105912358e-06, 5.2217542462003835e-12, 6.346103656272026e-17]"
1.8143827208002438e-07,"[0.9999959136527208, 4.086334940773369e-06, 7.835379026823329e-12, 8.40382932276187e-17]"
2.0213092157636873e-07,"[0.9999945832610395, 5.416715730565126e-06, 1.8086860990974403e-11, 1.6078647204251695e-16]"
2.2248189998376087e-07,"[0.9999936867723082, 6.3132019672057875e-06, 2.00371118142801e-11, 2.6078131166663914e-16]"
2.4229268514475653e-07,"[0.9999929736518185, 7.026329759014593e-06, 1.2316165604198133e-11, 3.2137210151179054e-16]"
2.626204428549279e-07,"[0.9999916638588747, 8.336118811698223e-06, 1.5668713586505172e-11, 3.8042498229252733e-16]"
2.8350564818627813e-07,"[0.9999899019032614, 1.0098054875723139e-05, 3.4517654918178044e-11, 5.746592372129316e-16]"
3.040297201918159e-07,"[0.99998854898814, 1.145096590048961e-05, 3.802307117700971e-11, 8.476713060027317e-16]"
3.2384368413330445e-07,"[0.9999874619540211, 1.2538014722039093e-05, 2.290065528722989e-11, 1.0174952159637941e-15]"
3.4429254961733625e-07,"[0.9999857952548277, 1.4204710324548775e-05, 2.5921308861051592e-11, 1.1485086186536663e-15]"
