time,leakage
0.0,0.0
2.590227104332791e-08,4.087019236413945e-08
4.96787379566259e-08,1.5033795003365588e-07
7.292555360190571e-08,3.2395291158509204e-07
9.690958821770704e-08,5.720681414688269e-07
1.2091594787791684e-07,8.905754161724157e-07
1.4480466783700544e-07,1.2771929969873815e-06
1.6800289594218796e-07,1.7191390145244968e-06
1.9180010362530395e-07,2.240566542812641e-06
2.1553275282038577e-07,2.829225764921969e-06
2.388367137044144e-07,3.4739449759313e-06
2.6282134978838983e-07,4.206475033953053e-06
2.8680316254390737e-07,5.008855760701897e-06
3.1073258675972803e-07,5.879176182826765e-06
3.3396245339050666e-07,6.7906144034353255e-06
3.577944109025752e-07,7.793778170857333e-06
3.81552327403592e-07,8.862464126615229e-06
4.0491292948656937e-07,9.980078980709255e-06
4.2890523801139956e-07,1.1196802158508936e-05
4.528731267981328e-07,1.2481948620451212e-05
4.768285859752901e-07,1.383599505239133e-05
5.000932260070912e-07,1.5217505101791598e-05
5.239594000189521e-07,1.6702762418597226e-05
5.477435406970989e-07,1.8251447730614172e-05
5.711458074842922e-07,1.984201761716873e-05
5.951489633682466e-07,2.154210393758073e-05
6.191172410305874e-07,2.3309065698968076e-05
6.430846388441755e-07,2.5145263512049953e-05
6.663824454399193e-07,2.699649593674705e-05
6.902775948833148e-07,2.8963009450048563e-05
7.140853044440767e-07,3.0990633798241035e-05
7.375148678973099e-07,3.3052589530989355e-05
7.615285277096704e-07,3.523428369000958e-05
7.855091667990506e-07,3.7481951747321236e-05
8.094773275180748e-07,3.979735616432991e-05
8.328065552062296e-07,4.211706824661811e-05
8.567252675541052e-07,4.456286550543011e-05
8.8055372702499e-07,4.7067393959885224e-05
9.039986871650341e-07,4.9597785936684534e-05
9.280201570184863e-07,5.225825367943381e-05
9.520205502608477e-07,5.498491029482059e-05
9.759798140371177e-07,5.7775276850798154e-05
9.993395661816181e-07,6.056143016321407e-05
1.0232776032820175e-06,6.348355189180075e-05
1.0471248936638598e-06,6.64620952098368e-05
1.0705757786065834e-06,6.945679409201924e-05
1.094600327844731e-06,7.259198035073207e-05
1.118623117554677e-06,7.579490820964178e-05
1.1425679487163183e-06,7.905518523905463e-05
1.1659583640951147e-06,8.230504795513473e-05
1.1899127256115166e-06,8.56996643446948e-05
1.2137781296224145e-06,8.914860700911465e-05
1.2372277141956387e-06,9.260249065399995e-05
1.2612498660876365e-06,9.620717176599277e-05
1.285294206852594e-06,9.988248617002354e-05
1.3092230884116409e-06,0.00010360715351539049
1.3326453254339576e-06,0.0001073173969234721
1.3566140122851637e-06,0.00011117988974710256
1.380497905336818e-06,0.00011509498646876855
1.4039410543370726e-06,0.00011900211873123828
1.42797215834212e-06,0.0001230728720618338
1.4520363182780772e-06,0.00012721576752064008
1.4759447679313036e-06,0.0001313980010469514
1.4994014925090572e-06,0.00013556491772256422
1.5233831072430353e-06,0.00013988994574454233
1.5472870323791779e-06,0.00014426647592120925
1.5707202202771624e-06,0.00014862024350719894
1.5947582608520511e-06,0.0001531510641531828
1.6188387429973135e-06,0.0001577555488447639
1.6427234260629265e-06,0.00016238777292933222
1.666218319787447e-06,0.00016700727094222907
1.690211566173121e-06,0.00017178869746105444
1.7141375481924595e-06,0.00017662139099850643
1.7375596957179514e-06,0.00018141478403111146
1.7616033691234396e-06,0.0001863989787677313
1.7856958078393964e-06,0.00019145795240731742
1.8095539911318914e-06,0.00019653184161595985
1.8330918327066185e-06,0.0002015995506076909
1.857094860443741e-06,0.00020683033005320118
1.8810451706254642e-06,0.00021211336621925457
1.9044583187952612e-06,0.0002173393371310581
1.928507037534513e-06,0.0002227696019467748
1.952607429373897e-06,0.0002282751003390035
1.9764395072477018e-06,0.00023378224414166105
2.000025235826299e-06,0.00023929339537079856
2.0240345387713562e-06,0.0002449653011515458
2.0480108494705556e-06,0.0002506921436116647
2.0714093275978996e-06,0.00025634123214941074
2.095465782239032e-06,0.0002622103301790876
2.119569401946676e-06,0.00026815329230791255
2.1433748697159973e-06,0.00027408442037307247
2.167014212902079e-06,0.0002800339919816577
2.1910232355923187e-06,0.00028613713519410635
2.215024541217732e-06,0.00029229993284486173
2.2384141525544925e-06,0.00029836469408818484
2.262482308729355e-06,0.0003046651957301723
2.2865843804667032e-06,0.00031103562628869433
2.310363982346607e-06,0.00031738115218206766
2.334062059478515e-06,0.0003237635652718468
2.358058940702793e-06,0.0003302856031569216
2.3820806098959553e-06,0.0003368747616581344
2.405473716494565e-06,0.00034334923908492906
2.4295558113877385e-06,0.0003500727722604866
2.4536511100954227e-06,0.0003568596388528706
2.47740579533391e-06,0.0003636094544909747
2.501165896683199e-06,0.00037041816048196774
