spins,minimum_mu,mu,alpha,z_trap_frequency,analytical_gamma,start_gamma,end_gamma,optimum_gamma,fidelity,naive_fidelity,time,switch_time
4,37884220.856605686,37947835.00018087,0.10000199698762395,15373757.79754329,38392.84840375453,27423.46314553895,53749.98776525633,28013.741144682008,0.9996524912646909,0.5708457990778287,0.00015624999999995788,0.0001157216284510916
6,37799872.42750728,37813812.87942332,0.10134188682213276,10657532.409930686,33936.80321951005,24240.57372822147,47511.52450731407,27607.63829339238,0.999666027644335,0.7021938777449048,0.00019583999999993738,0.00016033914737067598
8,37764557.76243978,37764617.67682821,0.09949800773970263,8296603.0040566875,32200.752007313047,23000.53714808075,45081.05281023827,27582.860681103037,0.9997951685011004,0.7717719427963451,0.00022719999999992114,0.00019512542147315766
10,37745941.130931586,37746404.71904533,0.10852759304125564,6828692.485320178,27869.68427252248,19906.917337516057,39017.55798153147,24606.927270116517,0.9995969947867508,0.8153060177645511,0.0002857099999998909,0.0002520593582025862
12,37734736.08934081,37735048.27038281,0.11529337876126411,5828901.475286691,25090.983085132408,17922.130775094578,35127.37631918537,22546.19763284432,0.9991707016566171,0.8447867147649701,0.0003416899999998619,0.00030669579405722894
14,37727381.822988786,37727381.822988786,0.12063378801731907,5092946.4874604,23194.65171329591,16567.608366639935,32472.512398614268,21147.51408021787,0.9986713457353541,0.8660710485210873,0.0003942299999998347,0.0003583529938197543
16,37722250.46976854,37722250.46976854,0.12631353460016218,4529379.067831489,21531.63211815994,15379.737227257103,30144.284965423914,19832.763449632526,0.9982133920154639,0.8821869538497835,0.00044992999999980584,0.00041268426970858426
18,37718503.22659226,37718503.22659226,0.13078940774907935,4096256.107093891,20184.61358102611,14417.581129304368,28258.459013436557,18761.026061059456,0.9979381996537354,0.8947893417258159,0.0005054599999998702,0.0004669288278884286
20,37715668.4965774,37715751.12239712,0.13656356688975074,3726902.7190767513,18964.191454544543,13545.85103896039,26549.868036362364,17748.25296494954,0.997796416583969,0.9049395425269579,0.0005641300000001579,0.0005238603654476075
22,37713462.88827319,37713462.88827319,0.140501936976835,3425262.682000916,18106.23073849097,12933.021956064978,25348.723033887356,17028.917238944654,0.9978915081084476,0.9132632985633112,0.0006170600000004174,0.0005754640060973125
24,37711706.916131236,37711706.916131236,0.14417049939453813,3178287.9302193266,17283.826389950696,12345.59027853621,24197.35694593097,16319.48331239143,0.9981187716617745,0.9202247321737317,0.0006727700000006906,0.0006296520191693705
26,37710281.95517363,37710281.95517363,0.14814513519042755,2960453.9752684766,16563.516904257136,11831.083503040813,23188.92366595999,15704.936407939622,0.9984201466015201,0.926134482049155,0.0007283700000009632,0.000683862821199988
28,37709106.790327154,37709106.790327154,0.1509965304548813,2781611.189932981,15927.89717550436,11377.069411074544,22299.056045706104,15163.580855578231,0.9987669690568087,0.9312120494777528,0.0007835800000012339,0.0007379984456841384
30,37708124.14372701,37708124.14372701,0.15545670464123107,2607183.1166638355,15357.987915288646,10969.99136806332,21501.183081404106,14662.366262275922,0.999048026247638,0.9356220495826806,0.0008391300000015063,0.0007922480532627868
32,37707292.5829978,37707292.5829978,0.15866896390816626,2463394.2646559505,14846.601880907167,10604.715629219407,20785.242633270034,14210.776810004052,0.9992911612786333,0.9394884355252384,0.0008943000000017768,0.0008464139279251242
34,37706581.47458745,37706581.47458745,0.1620232660911599,2332978.245799682,14382.884016191509,10273.488582993934,20136.03762266811,13781.259928832875,0.9994465055635934,0.942905015138223,0.0009496400000020481,0.0009005925604929608
36,37705967.73246745,37705967.73246745,0.1639525033303708,2226573.672497269,13961.473765958512,9972.481261398938,19546.063272341915,13416.006824460797,0.9995226047629584,0.9459522779013363,0.001004180000002016,0.0009546734848991088
38,37705433.663548805,37705433.663548805,0.16752392818443113,2117152.9013584764,13573.44872223102,9695.3205158793,19002.828211123426,13059.825845600397,0.9994905796937852,0.9486754497505511,0.0010593200000016886,0.0010088729238236572
40,37704965.50405928,37704965.50405928,0.1695922544240708,2028067.4037789672,13217.354169724736,9440.967264089099,18504.29583761463,12742.560452279164,0.9993823620293126,0.9511367115719599,0.0011139100000013644,0.0010629683733725695
42,37704552.4032481,37704552.4032481,0.17171040004468077,1945856.1543771382,12887.815318627112,9205.582370447937,18042.941446077955,12443.696563840873,0.9992072729310782,0.9533665258424464,0.0011686200000010395,0.0011170695561554663
44,37704185.703765,37704185.703765,0.17554488959087017,1858910.6953071095,12580.400021086372,8986.000015061694,17612.56002952092,12155.519922126072,0.9989723098906961,0.9553838552511005,0.001223940000000711,0.0011712962758453377
46,37703858.42308734,37703858.42308734,0.177773967217913,1788516.0156862822,12295.106522331445,8782.218944522461,17213.14913126402,11908.144834998559,0.9987093288592541,0.9572374287439266,0.0012785500000003867,0.001225410211300602
48,37703564.87386043,37703564.87386043,0.18004147000913737,1722912.6929953285,12028.329458616228,8591.663899011593,16839.66124206272,11643.049080502706,0.9984498883195418,0.9589376720132443,0.0013340400000000571,0.001279529132860395
50,37703300.3819167,37703300.3819167,0.18234612540180606,1661605.6657080948,11778.149565586966,8412.963975419261,16489.40939182175,11418.71707344603,0.9982101831556079,0.9605026189226213,0.0013890999999997301,0.001333652895174978
52,37703061.0740824,37703061.0740824,0.18468656211450385,1604167.1570190943,11542.914831916312,8244.93916565451,16160.080764682838,11212.48899180893,0.9979870731659097,0.9619475850765096,0.001444189999999403,0.0013877813773797607
