spins,time,fidelity,gamma,optimum_gamma
28,199.27999999996374,0.9799960420609942,0.08562306503896208,0.17124613007792416
32,238.61999999992796,0.9790399882049925,0.08217901841410255,0.1643580368282051
36,287.69999999988335,0.9900023616400628,0.07932191414429109,0.15864382828858217
40,327.4399999998472,0.9823590337292469,0.07690209565557005,0.1538041913111401
44,376.9199999998022,0.983172190959515,0.07481804574528783,0.14963609149057566
48,416.4999999997662,0.9867544846172209,0.07299827617057975,0.1459965523411595
52,467.8199999997195,0.9879795616739494,0.07139085619723226,0.14278171239446452
56,506.9999999996839,0.983861914151331,0.06995706223060513,0.13991412446121027
60,569.1299999996274,0.983522792384858,0.06866736781387058,0.13733473562774115
64,608.8799999995913,0.988787883414564,0.06749882238319128,0.13499764476638257
72,710.4499999994989,0.9869275288980199,0.0654562083880116,0.1309124167760232
80,838.7699999993822,0.9890749400369616,0.06372224343958484,0.12744448687916968
88,952.4299999992788,0.9895544722608146,0.06222496499432735,0.1244499299886547
96,1004.7599999992312,0.9876636714416769,0.06091395746228692,0.12182791492457384
104,1155.8099999990939,0.9882199958618278,0.0597527113443241,0.1195054226886482
112,1259.4399999989996,0.9883197074277852,0.05871404992877362,0.11742809985754724
120,1373.479999998896,0.9914314586180116,0.05777726828204129,0.11555453656408259
128,1499.3799999987814,0.9911072848483233,0.05692627563842969,0.11385255127685938
144,1766.7599999985382,0.9904182080873701,0.055433282746008186,0.11086656549201637
160,1945.3899999983757,0.9911820020821592,0.054159978264765596,0.10831995652953119
176,2225.510000002157,0.9908218960315865,0.053055750489919784,0.10611150097983957
192,2477.7200000076623,0.9902550998414922,0.052085057400495544,0.10417011480099109
208,2720.1600000129542,0.9907368319011916,0.05122209364413661,0.10244418728827322
224,2961.2000000182156,0.9907171637657279,0.05044759890642703,0.10089519781285405
240,3253.550000024597,0.9912428891441061,0.049746860035417104,0.09949372007083421
256,3530.350000030639,0.9911271091895703,0.04910841245805324,0.09821682491610648
288,4077.9200000425913,0.9918632161437146,0.04798381705190427,0.09596763410380854
320,4558.2100000530745,0.991858122288415,0.047019992280682384,0.09403998456136477
352,5267.980000068567,0.9923775643866379,0.04618049122584832,0.09236098245169665
384,5686.670000077706,0.9930464949431772,0.04543960611760525,0.0908792122352105
416,6294.4300000909725,0.9926614264574116,0.04477859547165548,0.08955719094331097
448,6954.48000010538,0.9931233807441446,0.04418341817846119,0.08836683635692238
480,7648.55000012053,0.9932502159774113,0.043643310271048036,0.08728662054209607
512,8117.170000130759,0.9934006873716437,0.043149856834255595,0.08629971366851119
544,8684.200000143135,0.9935206360914466,0.04269636721173051,0.08539273442346101
576,9382.060000158368,0.9934366931606292,0.04227744270920032,0.08455488541840064
608,10014.780000172179,0.993849852637933,0.04188867027256381,0.08377734054512762
640,10725.260000187687,0.9938449568814052,0.041526400841290875,0.08305280168258175
704,11975.20000021497,0.9938933846399444,0.040869655414434145,0.08173931082886829
